Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[29/03/2020 21:00],18.02,18.02,33.96,33.96,32.37,18.02,5.59,
[29/03/2020 21:30],18.02,18.02,33.96,33.96,32.37,18.02,5.59,
[29/03/2020 22:00],18.42,18.42,30.10,30.10,29.39,18.42,5.24,
[29/03/2020 22:30],18.42,18.42,30.10,30.10,29.39,18.42,5.24,
[29/03/2020 23:00],16.20,16.20,20.00,20.00,22.98,16.20,4.94,
[29/03/2020 23:30],16.20,16.20,20.00,20.00,22.98,16.20,4.94,
[30/03/2020 00:00],15.94,15.94,16.41,16.41,17.22,15.94,4.92,
[30/03/2020 00:30],15.94,15.94,16.41,16.41,17.22,15.94,4.92,
[30/03/2020 01:00],17.46,17.46,24.10,24.10,24.32,17.46,4.89,
[30/03/2020 01:30],17.46,17.46,24.10,24.10,24.32,17.46,4.89,
[30/03/2020 02:00],15.26,15.00,25.70,25.70,25.09,15.54,4.91,
[30/03/2020 02:30],15.26,15.00,25.70,25.70,25.09,15.54,4.91,
[30/03/2020 03:00],15.09,15.09,24.00,24.00,24.41,15.09,4.93,
[30/03/2020 03:30],15.09,15.09,24.00,24.00,24.41,15.09,4.93,
[30/03/2020 04:00],17.06,16.63,22.69,22.69,23.23,17.61,5.13,
[30/03/2020 04:30],17.06,16.63,22.69,22.69,23.23,17.61,5.13,
[30/03/2020 05:00],22.15,22.15,22.98,22.98,22.44,22.15,5.48,
[30/03/2020 05:30],22.15,22.15,22.98,22.98,22.44,22.15,5.48,
[30/03/2020 06:00],27.93,27.93,39.24,39.24,29.35,27.93,6.03,
[30/03/2020 06:30],27.93,27.93,39.24,39.24,29.35,27.93,6.03,
[30/03/2020 07:00],27.48,27.48,28.50,28.50,27.17,27.48,6.70,
[30/03/2020 07:30],27.48,27.48,28.50,28.50,27.17,27.48,6.70,
[30/03/2020 08:00],23.19,23.19,33.00,33.00,31.46,23.19,6.88,
[30/03/2020 08:30],23.19,23.19,33.00,33.00,31.46,23.19,6.88,
[30/03/2020 09:00],19.90,19.90,36.00,36.00,34.31,19.90,6.70,
[30/03/2020 09:30],19.90,19.90,36.00,36.00,34.31,19.90,6.70,
[30/03/2020 10:00],18.73,18.73,30.62,30.62,29.19,18.73,6.00,
[30/03/2020 10:30],18.73,18.73,30.62,30.62,29.19,18.73,6.00,
[30/03/2020 11:00],18.73,18.73,30.03,30.03,28.63,18.73,5.83,
[30/03/2020 11:30],18.73,18.73,30.03,30.03,28.63,18.73,5.83,
[30/03/2020 12:00],16.98,16.98,30.85,30.85,29.41,16.98,5.65,
[30/03/2020 12:30],16.98,16.98,30.85,30.85,29.41,16.98,5.65,
[30/03/2020 13:00],15.16,15.16,26.83,26.83,25.57,15.16,5.45,
[30/03/2020 13:30],15.16,15.16,26.83,26.83,25.57,15.16,5.45,
[30/03/2020 14:00],14.04,14.04,23.92,23.92,22.80,14.04,5.49,
[30/03/2020 14:30],14.04,14.04,23.92,23.92,22.80,14.04,5.49,
[30/03/2020 15:00],13.77,13.77,24.04,24.04,22.91,13.77,5.62,
[30/03/2020 15:30],13.77,13.77,24.04,24.04,22.91,13.77,5.62,
[30/03/2020 16:00],15.37,12.76,28.34,28.34,27.02,18.44,5.78,
[30/03/2020 16:30],15.37,12.76,28.34,28.34,27.02,18.44,5.78,
[30/03/2020 17:00],19.57,15.99,30.85,30.85,29.41,23.90,6.02,
[30/03/2020 17:30],19.57,15.99,30.85,30.85,29.41,23.90,6.02,
[30/03/2020 18:00],27.76,23.26,38.00,38.00,36.22,33.33,6.07,
[30/03/2020 18:30],27.76,23.26,38.00,38.00,36.22,33.33,6.07,
[30/03/2020 19:00],28.15,25.74,39.26,39.26,37.42,31.11,6.34,
[30/03/2020 19:30],28.15,25.74,39.26,39.26,37.42,31.11,6.34,
[30/03/2020 20:00],25.41,25.41,37.33,37.33,35.58,25.41,6.06,
[30/03/2020 20:30],25.41,25.41,37.33,37.33,35.58,25.41,6.06,
[30/03/2020 21:00],23.99,23.99,31.60,31.60,30.12,23.99,5.47,
[30/03/2020 21:30],23.99,23.99,31.60,31.60,30.12,23.99,5.47,
[30/03/2020 22:00],21.66,21.66,25.70,25.70,26.96,21.66,5.12,
[30/03/2020 22:30],21.66,21.66,25.70,25.70,26.96,21.66,5.12,
[30/03/2020 23:00],20.78,20.78,24.65,24.65,25.25,20.78,4.81,
[30/03/2020 23:30],20.78,20.78,24.65,24.65,25.25,20.78,4.81,
[31/03/2020 00:00],17.49,17.49,18.15,18.15,19.04,17.49,4.67,
[31/03/2020 00:30],17.49,17.49,18.15,18.15,19.04,17.49,4.67,
[31/03/2020 01:00],17.61,17.61,21.80,21.80,20.84,17.61,4.55,
[31/03/2020 01:30],17.61,17.61,21.80,21.80,20.84,17.61,4.55,
[31/03/2020 02:00],17.33,17.33,26.23,26.23,25.01,17.33,4.50,
[31/03/2020 02:30],17.33,17.33,26.23,26.23,25.01,17.33,4.50,
[31/03/2020 03:00],16.81,16.81,24.99,24.99,24.15,16.81,4.56,
[31/03/2020 03:30],16.81,16.81,24.99,24.99,24.15,16.81,4.56,
[31/03/2020 04:00],20.15,19.42,22.00,22.00,21.48,21.01,4.66,
[31/03/2020 04:30],20.15,19.42,22.00,22.00,21.48,21.01,4.66,
[31/03/2020 05:00],24.53,22.55,28.06,28.06,26.23,26.92,4.78,
[31/03/2020 05:30],24.53,22.55,28.06,28.06,26.23,26.92,4.78,
[31/03/2020 06:00],28.29,23.69,33.06,33.06,29.12,31.72,5.27,
[31/03/2020 06:30],28.29,23.69,33.06,33.06,29.12,31.72,5.27,
[31/03/2020 07:00],26.46,23.73,30.00,30.00,29.29,29.19,5.87,
[31/03/2020 07:30],26.46,23.73,30.00,30.00,29.29,29.19,5.87,
[31/03/2020 08:00],22.78,22.78,31.20,31.20,31.25,22.78,5.26,
[31/03/2020 08:30],22.78,22.78,31.20,31.20,31.25,22.78,5.26,
[31/03/2020 09:00],21.17,21.17,29.00,29.00,30.41,21.17,4.88,
[31/03/2020 09:30],21.17,21.17,29.00,29.00,30.41,21.17,4.88,
[31/03/2020 10:00],17.45,17.48,25.91,25.91,27.18,17.40,4.74,
[31/03/2020 10:30],17.45,17.48,25.91,25.91,27.18,17.40,4.74,
[31/03/2020 11:00],17.69,17.69,26.90,26.90,28.22,17.69,4.71,
[31/03/2020 11:30],17.69,17.69,26.90,26.90,28.22,17.69,4.71,
[31/03/2020 12:00],16.04,16.20,28.00,28.00,29.38,15.55,4.57,
[31/03/2020 12:30],16.04,16.20,28.00,28.00,29.38,15.55,4.57,
[31/03/2020 13:00],15.48,15.48,25.68,25.68,26.94,15.48,4.41,
[31/03/2020 13:30],15.48,15.48,25.68,25.68,26.94,15.48,4.41,
[31/03/2020 14:00],15.57,15.57,24.32,24.32,25.51,15.57,4.35,
[31/03/2020 14:30],15.57,15.57,24.32,24.32,25.51,15.57,4.35,
[31/03/2020 15:00],15.80,15.80,25.57,25.57,26.83,15.80,4.33,
[31/03/2020 15:30],15.80,15.80,25.57,25.57,26.83,15.80,4.33,
[31/03/2020 16:00],16.97,14.00,28.01,28.01,29.39,20.50,4.37,
[31/03/2020 16:30],16.97,14.00,28.01,28.01,29.39,20.50,4.37,
[31/03/2020 17:00],21.35,17.01,32.00,32.00,33.57,26.76,4.40,
[31/03/2020 17:30],21.35,17.01,32.00,32.00,33.57,26.76,4.40,
[31/03/2020 18:00],27.15,22.39,41.60,41.60,43.64,35.29,4.46,
[31/03/2020 18:30],27.15,22.39,41.60,41.60,43.64,35.29,4.46,
[31/03/2020 19:00],27.28,25.67,42.00,42.00,44.06,29.29,4.52,
[31/03/2020 19:30],27.28,25.67,42.00,42.00,44.06,29.29,4.52,
[31/03/2020 20:00],23.16,22.68,40.42,40.42,42.40,23.75,4.43,
[31/03/2020 20:30],23.16,22.68,40.42,40.42,42.40,23.75,4.43,
[31/03/2020 21:00],23.54,23.54,30.82,30.82,32.34,23.54,4.27,
[31/03/2020 21:30],23.54,23.54,30.82,30.82,32.34,23.54,4.27,
[31/03/2020 22:00],21.32,21.32,28.46,28.46,29.15,21.32,4.04,
[31/03/2020 22:30],21.32,21.32,28.46,28.46,29.15,21.32,4.04,
[31/03/2020 23:00],19.69,19.69,28.71,28.71,30.12,19.69,3.76,
[31/03/2020 23:30],19.69,19.69,28.71,28.71,30.12,19.69,3.76,
[01/04/2020 00:00],17.88,17.88,24.53,24.53,25.74,17.88,3.78,
[01/04/2020 00:30],17.88,17.88,24.53,24.53,25.74,17.88,3.78,
[01/04/2020 01:00],17.29,17.29,25.72,25.72,26.99,17.29,3.79,
[01/04/2020 01:30],17.29,17.29,25.72,25.72,26.99,17.29,3.79,
[01/04/2020 02:00],16.92,16.92,29.02,29.02,29.72,16.92,3.88,
[01/04/2020 02:30],16.92,16.92,29.02,29.02,29.72,16.92,3.88,
[01/04/2020 03:00],16.98,16.98,26.10,26.10,26.73,16.98,3.98,
[01/04/2020 03:30],16.98,16.98,26.10,26.10,26.73,16.98,3.98,
[01/04/2020 04:00],18.25,18.25,24.59,24.59,25.47,18.25,4.15,
[01/04/2020 04:30],18.25,18.25,24.59,24.59,25.47,18.25,4.15,
[01/04/2020 05:00],22.36,22.36,24.36,24.36,24.95,22.36,4.36,
[01/04/2020 05:30],22.36,22.36,24.36,24.36,24.95,22.36,4.36,
[01/04/2020 06:00],23.92,23.92,28.97,28.97,27.61,23.92,4.70,
[01/04/2020 06:30],23.92,23.92,28.97,28.97,27.61,23.92,4.70,
[01/04/2020 07:00],24.58,24.58,31.00,31.00,31.27,24.58,4.89,
[01/04/2020 07:30],24.58,24.58,31.00,31.00,31.27,24.58,4.89,
[01/04/2020 08:00],22.42,22.42,35.90,35.90,36.77,22.42,4.90,
[01/04/2020 08:30],22.42,22.42,35.90,35.90,36.77,22.42,4.90,
[01/04/2020 09:00],19.32,19.32,32.90,32.90,33.70,19.32,4.80,
[01/04/2020 09:30],19.32,19.32,32.90,32.90,33.70,19.32,4.80,
[01/04/2020 10:00],17.87,17.91,26.75,26.75,28.07,17.82,4.67,
[01/04/2020 10:30],17.87,17.91,26.75,26.75,28.07,17.82,4.67,
[01/04/2020 11:00],16.41,17.58,26.01,26.01,27.28,16.74,4.61,
[01/04/2020 11:30],16.41,17.58,26.01,26.01,27.28,16.74,4.61,
[01/04/2020 12:00],16.09,16.27,27.96,27.96,28.64,16.05,4.55,
[01/04/2020 12:30],16.09,16.27,27.96,27.96,28.64,16.05,4.55,
[01/04/2020 13:00],15.21,15.35,25.03,25.03,25.64,15.21,4.53,
[01/04/2020 13:30],15.21,15.35,25.03,25.03,25.64,15.21,4.53,
[01/04/2020 14:00],15.90,15.90,24.04,24.04,24.62,15.90,4.48,
[01/04/2020 14:30],15.90,15.90,24.04,24.04,24.62,15.90,4.48,
[01/04/2020 15:00],16.80,16.80,25.00,25.00,25.60,16.80,4.38,
[01/04/2020 15:30],16.80,16.80,25.00,25.00,25.60,16.80,4.38,
[01/04/2020 16:00],19.35,19.35,26.90,26.90,27.09,19.35,4.39,
[01/04/2020 16:30],19.35,19.35,26.90,26.90,27.09,19.35,4.39,
[01/04/2020 17:00],22.22,21.22,30.90,30.90,30.40,23.41,4.48,
[01/04/2020 17:30],22.22,21.22,30.90,30.90,30.40,23.41,4.48,
[01/04/2020 18:00],26.43,25.69,38.00,38.00,37.10,27.36,4.51,
[01/04/2020 18:30],26.43,25.69,38.00,38.00,37.10,27.36,4.51,
[01/04/2020 19:00],27.86,25.87,40.30,40.30,39.93,30.38,4.50,
[01/04/2020 19:30],27.86,25.87,40.30,40.30,39.93,30.38,4.50,
[01/04/2020 20:00],25.44,25.44,37.96,37.96,38.88,25.44,4.35,
[01/04/2020 20:30],25.44,25.44,37.96,37.96,38.88,25.44,4.35,
[01/04/2020 21:00],24.89,24.89,28.98,28.98,29.68,24.89,4.18,
[01/04/2020 21:30],24.89,24.89,28.98,28.98,29.68,24.89,4.18,
[01/04/2020 22:00],23.17,23.17,25.41,25.41,24.81,23.17,3.97,
[01/04/2020 22:30],23.17,23.17,25.41,25.41,24.81,23.17,3.97,
[01/04/2020 23:00],21.26,21.26,35.12,35.12,31.46,21.26,3.72,
[01/04/2020 23:30],21.26,21.26,35.12,35.12,31.46,21.26,3.72,
[02/04/2020 00:00],20.16,20.16,20.96,20.96,24.10,20.16,3.65,
[02/04/2020 00:30],20.16,20.16,20.96,20.96,24.10,20.16,3.65,
[02/04/2020 01:00],19.14,19.14,25.70,25.70,24.50,19.14,3.64,
[02/04/2020 01:30],19.14,19.14,25.70,25.70,24.50,19.14,3.64,
[02/04/2020 02:00],18.40,18.40,24.00,24.00,22.88,18.40,3.72,
[02/04/2020 02:30],18.40,18.40,24.00,24.00,22.88,18.40,3.72,
[02/04/2020 03:00],18.26,18.26,18.91,18.91,18.03,18.18,3.84,
[02/04/2020 03:30],18.26,18.26,18.91,18.91,18.03,18.18,3.84,
[02/04/2020 04:00],19.79,19.80,20.45,20.45,18.28,19.66,4.00,
[02/04/2020 04:30],19.79,19.80,20.45,20.45,18.28,19.66,4.00,
[02/04/2020 05:00],22.22,22.22,22.95,22.95,14.06,22.22,4.21,
[02/04/2020 05:30],22.22,22.22,22.95,22.95,14.06,22.22,4.21,
[02/04/2020 06:00],23.97,23.97,24.83,24.83,15.18,23.97,4.44,
[02/04/2020 06:30],23.97,23.97,24.83,24.83,15.18,23.97,4.44,
[02/04/2020 07:00],24.40,24.40,31.00,31.00,21.26,24.40,4.47,
[02/04/2020 07:30],24.40,24.40,31.00,31.00,21.26,24.40,4.47,
[02/04/2020 08:00],21.95,21.95,37.49,37.49,26.24,21.95,4.35,
[02/04/2020 08:30],21.95,21.95,37.49,37.49,26.24,21.95,4.35,
[02/04/2020 09:00],18.74,18.84,35.00,35.00,24.13,18.74,4.26,
[02/04/2020 09:30],18.74,18.84,35.00,35.00,24.13,18.74,4.26,
[02/04/2020 10:00],17.99,17.99,28.50,28.50,22.14,17.99,4.14,
[02/04/2020 10:30],17.99,17.99,28.50,28.50,22.14,17.99,4.14,
[02/04/2020 11:00],17.56,18.51,27.45,27.45,18.00,17.56,4.09,
[02/04/2020 11:30],17.56,18.51,27.45,27.45,18.00,17.56,4.09,
[02/04/2020 12:00],16.02,13.61,26.45,26.45,19.84,16.02,4.05,
[02/04/2020 12:30],16.02,13.61,26.45,26.45,19.84,16.02,4.05,
[02/04/2020 13:00],15.27,11.81,21.44,21.44,15.77,15.27,3.98,
[02/04/2020 13:30],15.27,11.81,21.44,21.44,15.77,15.27,3.98,
[02/04/2020 14:00],14.86,11.10,15.61,15.61,14.88,15.01,3.96,
[02/04/2020 14:30],14.86,11.10,15.61,15.61,14.88,15.01,3.96,
[02/04/2020 15:00],14.91,12.49,15.52,15.52,14.79,14.91,3.97,
[02/04/2020 15:30],14.91,12.49,15.52,15.52,14.79,14.91,3.97,
[02/04/2020 16:00],15.10,15.10,28.00,28.00,19.50,15.10,4.00,
[02/04/2020 16:30],15.10,15.10,28.00,28.00,19.50,15.10,4.00,
[02/04/2020 17:00],19.93,19.93,35.00,35.00,26.51,19.93,4.02,
[02/04/2020 17:30],19.93,19.93,35.00,35.00,26.51,19.93,4.02,
[02/04/2020 18:00],22.66,22.66,35.70,35.70,32.77,22.66,4.06,
[02/04/2020 18:30],22.66,22.66,35.70,35.70,32.77,22.66,4.06,
[02/04/2020 19:00],23.96,23.96,35.70,35.70,34.86,23.96,4.07,
[02/04/2020 19:30],23.96,23.96,35.70,35.70,34.86,23.96,4.07,
[02/04/2020 20:00],21.48,21.48,37.60,37.60,37.81,21.48,4.01,
[02/04/2020 20:30],21.48,21.48,37.60,37.60,37.81,21.48,4.01,
[02/04/2020 21:00],21.95,21.95,34.76,34.76,35.60,21.95,3.91,
[02/04/2020 21:30],21.95,21.95,34.76,34.76,35.60,21.95,3.91,
[02/04/2020 22:00],24.23,21.51,28.00,28.00,28.68,22.75,3.68,
[02/04/2020 22:30],24.23,21.51,28.00,28.00,28.68,22.75,3.68,
[02/04/2020 23:00],19.26,19.21,29.94,29.94,29.88,19.31,2.99,
[02/04/2020 23:30],19.26,19.21,29.94,29.94,29.88,19.31,2.99,
[03/04/2020 00:00],16.62,16.62,22.13,22.13,24.75,16.62,2.93,
[03/04/2020 00:30],16.62,16.62,22.13,22.13,24.75,16.62,2.93,
[03/04/2020 01:00],15.99,15.99,26.40,26.40,26.65,15.99,2.92,
[03/04/2020 01:30],15.99,15.99,26.40,26.40,26.65,15.99,2.92,
[03/04/2020 02:00],16.02,16.02,30.84,30.84,29.40,16.02,2.96,
[03/04/2020 02:30],16.02,16.02,30.84,30.84,29.40,16.02,2.96,
[03/04/2020 03:00],16.27,16.27,29.93,29.93,29.23,16.27,3.04,
[03/04/2020 03:30],16.27,16.27,29.93,29.93,29.23,16.27,3.04,
[03/04/2020 04:00],16.25,16.25,29.00,29.00,27.64,16.25,3.28,
[03/04/2020 04:30],16.25,16.25,29.00,29.00,27.64,16.25,3.28,
[03/04/2020 05:00],20.93,20.93,27.53,27.53,26.88,20.93,3.54,
[03/04/2020 05:30],20.93,20.93,27.53,27.53,26.88,20.93,3.54,
[03/04/2020 06:00],22.99,22.99,30.00,30.00,27.34,22.99,3.85,
[03/04/2020 06:30],22.99,22.99,30.00,30.00,27.34,22.99,3.85,
[03/04/2020 07:00],23.30,23.30,25.99,25.99,28.58,23.30,3.96,
[03/04/2020 07:30],23.30,23.30,25.99,25.99,28.58,23.30,3.96,
[03/04/2020 08:00],22.46,22.46,29.33,29.33,30.77,22.46,3.88,
[03/04/2020 08:30],22.46,22.46,29.33,29.33,30.77,22.46,3.88,
[03/04/2020 09:00],20.29,20.29,30.99,30.99,32.52,20.29,3.79,
[03/04/2020 09:30],20.29,20.29,30.99,30.99,32.52,20.29,3.79,
[03/04/2020 10:00],18.53,18.53,28.80,28.80,30.21,18.53,3.71,
[03/04/2020 10:30],18.53,18.53,28.80,28.80,30.21,18.53,3.71,
[03/04/2020 11:00],17.83,17.83,30.20,30.20,31.68,17.83,3.64,
[03/04/2020 11:30],17.83,17.83,30.20,30.20,31.68,17.83,3.64,
[03/04/2020 12:00],15.59,15.59,30.54,30.54,32.04,15.59,3.59,
[03/04/2020 12:30],15.59,15.59,30.54,30.54,32.04,15.59,3.59,
[03/04/2020 13:00],15.05,15.05,28.00,28.00,29.38,15.05,3.51,
[03/04/2020 13:30],15.05,15.05,28.00,28.00,29.38,15.05,3.51,
[03/04/2020 14:00],15.00,15.00,25.00,25.00,26.23,15.00,3.44,
[03/04/2020 14:30],15.00,15.00,25.00,25.00,26.23,15.00,3.44,
[03/04/2020 15:00],15.04,15.04,23.88,23.88,25.05,15.04,3.51,
[03/04/2020 15:30],15.04,15.04,23.88,23.88,25.05,15.04,3.51,
[03/04/2020 16:00],17.60,17.60,26.14,26.14,27.42,17.60,3.65,
[03/04/2020 16:30],17.60,17.60,26.14,26.14,27.42,17.60,3.65,
[03/04/2020 17:00],21.22,20.26,34.78,34.78,35.62,22.31,3.81,
[03/04/2020 17:30],21.22,20.26,34.78,34.78,35.62,22.31,3.81,
[03/04/2020 18:00],23.80,22.90,41.60,41.60,42.60,24.85,3.95,
[03/04/2020 18:30],23.80,22.90,41.60,41.60,42.60,24.85,3.95,
[03/04/2020 19:00],26.83,24.86,40.22,40.22,42.19,29.10,4.01,
[03/04/2020 19:30],26.83,24.86,40.22,40.22,42.19,29.10,4.01,
[03/04/2020 20:00],23.99,23.99,37.98,37.98,38.90,23.99,3.95,
[03/04/2020 20:30],23.99,23.99,37.98,37.98,38.90,23.99,3.95,
[03/04/2020 21:00],25.68,25.68,29.20,29.20,30.64,25.68,3.88,
[03/04/2020 21:30],25.68,25.68,29.20,29.20,30.64,25.68,3.88,
[03/04/2020 22:00],24.67,24.67,25.37,25.37,26.61,24.67,3.78,
[03/04/2020 22:30],24.67,24.67,25.37,25.37,26.61,24.67,3.78,
[03/04/2020 23:00],22.11,22.11,31.00,31.00,31.75,22.11,3.89,
[03/04/2020 23:30],22.11,22.11,31.00,31.00,31.75,22.11,3.89,
[04/04/2020 00:00],20.25,20.25,25.60,25.60,26.86,20.25,3.88,
[04/04/2020 00:30],20.25,20.25,25.60,25.60,26.86,20.25,3.88,
[04/04/2020 01:00],18.59,18.59,27.40,27.40,27.43,18.59,3.86,
[04/04/2020 01:30],18.59,18.59,27.40,27.40,27.43,18.59,3.86,
[04/04/2020 02:00],17.71,17.71,28.00,28.00,27.17,17.71,3.88,
[04/04/2020 02:30],17.71,17.71,28.00,28.00,27.17,17.71,3.88,
[04/04/2020 03:00],17.44,17.44,30.00,30.00,28.12,17.44,3.92,
[04/04/2020 03:30],17.44,17.44,30.00,30.00,28.12,17.44,3.92,
[04/04/2020 04:00],17.27,17.27,28.00,28.00,26.69,17.27,3.97,
[04/04/2020 04:30],17.27,17.27,28.00,28.00,26.69,17.27,3.97,
[04/04/2020 05:00],19.19,19.19,26.05,26.05,24.84,19.19,4.02,
[04/04/2020 05:30],19.19,19.19,26.05,26.05,24.84,19.19,4.02,
[04/04/2020 06:00],18.62,17.44,27.91,27.91,22.87,20.17,4.10,
[04/04/2020 06:30],18.62,17.44,27.91,27.91,22.87,20.17,4.10,
[04/04/2020 07:00],18.01,17.01,32.00,32.00,24.13,19.30,4.18,
[04/04/2020 07:30],18.01,17.01,32.00,32.00,24.13,19.30,4.18,
[04/04/2020 08:00],16.74,16.74,38.00,38.00,25.80,16.74,4.17,
[04/04/2020 08:30],16.74,16.74,38.00,38.00,25.80,16.74,4.17,
[04/04/2020 09:00],13.20,13.20,38.00,38.00,27.62,13.20,4.15,
[04/04/2020 09:30],13.20,13.20,38.00,38.00,27.62,13.20,4.15,
[04/04/2020 10:00],11.50,11.50,33.03,33.03,26.07,11.50,4.08,
[04/04/2020 10:30],11.50,11.50,33.03,33.03,26.07,11.50,4.08,
[04/04/2020 11:00],12.58,12.58,32.00,32.00,21.11,12.58,3.99,
[04/04/2020 11:30],12.58,12.58,32.00,32.00,21.11,12.58,3.99,
[04/04/2020 12:00],9.53,9.53,27.00,27.00,14.94,9.53,3.89,
[04/04/2020 12:30],9.53,9.53,27.00,27.00,14.94,9.53,3.89,
[04/04/2020 13:00],8.81,8.81,12.70,12.70,12.61,8.81,3.82,
[04/04/2020 13:30],8.81,8.81,12.70,12.70,12.61,8.81,3.82,
[04/04/2020 14:00],8.70,8.70,8.96,8.96,8.60,8.70,3.80,
[04/04/2020 14:30],8.70,8.70,8.96,8.96,8.60,8.70,3.80,
[04/04/2020 15:00],10.59,8.22,13.08,13.08,12.40,13.50,3.86,
[04/04/2020 15:30],10.59,8.22,13.08,13.08,12.40,13.50,3.86,
[04/04/2020 16:00],12.36,7.58,18.62,18.62,13.19,18.08,3.98,
[04/04/2020 16:30],12.36,7.58,18.62,18.62,13.19,18.08,3.98,
[04/04/2020 17:00],19.86,17.08,32.50,32.50,14.94,23.15,4.05,
[04/04/2020 17:30],19.86,17.08,32.50,32.50,14.94,23.15,4.05,
[04/04/2020 18:00],21.26,12.06,40.00,40.00,18.47,31.63,4.08,
[04/04/2020 18:30],21.26,12.06,40.00,40.00,18.47,31.63,4.08,
[04/04/2020 19:00],21.66,16.54,39.63,39.63,18.47,28.01,4.06,
[04/04/2020 19:30],21.66,16.54,39.63,39.63,18.47,28.01,4.06,
[04/04/2020 20:00],18.11,15.96,33.20,33.20,18.47,20.75,4.02,
[04/04/2020 20:30],18.11,15.96,33.20,33.20,18.47,20.75,4.02,
[04/04/2020 21:00],17.42,15.19,22.00,22.00,14.89,19.19,3.99,
[04/04/2020 21:30],17.42,15.19,22.00,22.00,14.89,19.19,3.99,
[04/04/2020 22:00],15.04,15.04,15.41,15.41,5.28,15.04,3.95,
[04/04/2020 22:30],15.04,15.04,15.41,15.41,5.28,15.04,3.95,
[04/04/2020 23:00],15.85,15.85,16.35,16.35,-4.41,15.85,4.10,
[04/04/2020 23:30],15.85,15.85,16.35,16.35,-4.41,15.85,4.10,
[05/04/2020 00:00],10.04,10.04,10.29,10.29,-5.29,10.04,4.06,
[05/04/2020 00:30],10.04,10.04,10.29,10.29,-5.29,10.04,4.06,
[05/04/2020 01:00],8.65,8.65,8.86,8.86,-4.64,8.65,4.03,
[05/04/2020 01:30],8.65,8.65,8.86,8.86,-4.64,8.65,4.03,
[05/04/2020 02:00],8.72,8.72,8.94,8.94,-4.64,8.72,4.03,
[05/04/2020 02:30],8.72,8.72,8.94,8.94,-4.64,8.72,4.03,
[05/04/2020 03:00],7.20,7.20,7.38,7.38,-5.29,7.20,4.03,
[05/04/2020 03:30],7.20,7.20,7.38,7.38,-5.29,7.20,4.03,
[05/04/2020 04:00],4.63,4.63,4.53,4.53,-8.81,4.63,4.03,
[05/04/2020 04:30],4.63,4.63,4.53,4.53,-8.81,4.63,4.03,
[05/04/2020 05:00],4.87,4.87,4.76,4.76,-8.81,4.87,4.03,
[05/04/2020 05:30],4.87,4.87,4.76,4.76,-8.81,4.87,4.03,
[05/04/2020 06:00],4.84,4.84,4.74,4.74,-9.27,4.84,4.05,
[05/04/2020 06:30],4.84,4.84,4.74,4.74,-9.27,4.84,4.05,
[05/04/2020 07:00],7.09,7.09,7.26,7.26,-9.27,7.09,4.10,
[05/04/2020 07:30],7.09,7.09,7.26,7.26,-9.27,7.09,4.10,
[05/04/2020 08:00],5.08,5.08,5.21,5.21,-8.81,5.08,4.00,
[05/04/2020 08:30],5.08,5.08,5.21,5.21,-8.81,5.08,4.00,
[05/04/2020 09:00],4.01,4.08,4.12,4.12,-5.20,4.01,3.75,
[05/04/2020 09:30],4.01,4.08,4.12,4.12,-5.20,4.01,3.75,
[05/04/2020 10:00],1.22,1.98,1.93,1.93,-4.57,1.22,3.39,
[05/04/2020 10:30],1.22,1.98,1.93,1.93,-4.57,1.22,3.39,
[05/04/2020 11:00],-0.85,0.02,0.02,0.02,-4.03,0.02,3.14,
[05/04/2020 11:30],-0.85,0.02,0.02,0.02,-4.03,0.02,3.14,
[05/04/2020 12:00],-16.11,-0.02,-0.02,-0.02,-4.57,-0.02,3.09,
[05/04/2020 12:30],-16.11,-0.02,-0.02,-0.02,-4.57,-0.02,3.09,
[05/04/2020 13:00],-31.10,-9.50,-9.28,-9.28,-8.85,-9.57,3.09,
[05/04/2020 13:30],-31.10,-9.50,-9.28,-9.28,-8.85,-9.57,3.09,
[05/04/2020 14:00],-24.84,-18.55,-19.00,-19.00,-12.84,-19.57,3.24,
[05/04/2020 14:30],-24.84,-18.55,-19.00,-19.00,-12.84,-19.57,3.24,
[05/04/2020 15:00],-4.47,-4.25,-4.35,-4.35,-9.42,-4.40,3.45,
[05/04/2020 15:30],-4.47,-4.25,-4.35,-4.35,-9.42,-4.40,3.45,
[05/04/2020 16:00],3.95,3.95,4.04,4.04,-5.20,3.95,3.85,
[05/04/2020 16:30],3.95,3.95,4.04,4.04,-5.20,3.95,3.85,
[05/04/2020 17:00],12.63,11.35,13.97,13.97,-0.97,14.39,4.10,
[05/04/2020 17:30],12.63,11.35,13.97,13.97,-0.97,14.39,4.10,
[05/04/2020 18:00],15.59,13.30,18.27,18.27,14.98,17.71,4.12,
[05/04/2020 18:30],15.59,13.30,18.27,18.27,14.98,17.71,4.12,
[05/04/2020 19:00],17.16,16.81,27.00,27.00,21.82,17.62,4.10,
[05/04/2020 19:30],17.16,16.81,27.00,27.00,21.82,17.62,4.10,
