Date (WET),Day Ahead Price EPEX,Day Ahead Price Nordpool,4H Intraday Price AVG,2H Intraday Price AVG,HH Intraday Price AVG,System Buy Price,System Sell Price
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[21/10/2018 13:00],55.00,55.00,48.64,48.60,47.06,46.21,46.21
[21/10/2018 13:30],55.00,55.00,48.64,48.60,46.55,45.00,45.00
[21/10/2018 14:00],53.80,53.80,48.64,48.60,29.87,45.46,45.46
[21/10/2018 14:30],53.80,53.80,48.64,48.60,36.19,45.46,45.46
[21/10/2018 15:00],59.33,59.33,48.64,42.07,32.27,45.78,45.78
[21/10/2018 15:30],59.33,59.33,48.64,42.07,50.09,47.75,47.75
[21/10/2018 16:00],60.20,60.20,48.64,42.07,42.38,47.75,47.75
[21/10/2018 16:30],60.20,60.20,48.64,42.07,41.67,80.00,80.00
[21/10/2018 17:00],74.00,74.00,42.95,41.49,39.03,95.00,95.00
[21/10/2018 17:30],74.00,74.00,42.95,41.49,35.39,95.00,95.00
[21/10/2018 18:00],99.93,99.93,42.95,41.49,39.95,93.85,93.85
[21/10/2018 18:30],99.93,99.93,42.95,41.49,41.41,95.00,95.00
[21/10/2018 19:00],88.98,88.98,42.95,52.42,51.28,92.00,92.00
[21/10/2018 19:30],88.98,88.98,42.95,52.42,45.58,83.25,83.25
[21/10/2018 20:00],66.00,66.00,42.95,52.42,65.04,84.53,84.53
[21/10/2018 20:30],66.00,66.00,42.95,52.42,44.57,46.03,46.03
[21/10/2018 21:00],59.00,59.00,62.14,56.40,46.71,46.47,46.47
[21/10/2018 21:30],59.00,59.00,62.14,56.40,55.89,79.00,79.00
[21/10/2018 22:00],54.00,54.00,62.14,56.40,59.49,76.00,76.00
[21/10/2018 22:30],54.00,54.00,62.14,56.40,57.43,44.58,44.58
[21/10/2018 23:00],57.50,57.50,62.14,56.64,61.04,44.49,44.49
[21/10/2018 23:30],57.50,57.50,62.14,56.64,67.73,44.50,44.50
[22/10/2018 00:00],50.54,50.54,62.14,56.64,68.72,37.92,37.92
[22/10/2018 00:30],50.54,50.54,62.14,56.64,58.13,38.96,38.96
[22/10/2018 01:00],50.05,50.05,53.07,59.76,58.81,38.96,38.96
[22/10/2018 01:30],50.05,50.05,53.07,59.76,51.34,40.00,40.00
[22/10/2018 02:00],53.20,53.20,53.07,59.76,51.65,38.96,38.96
[22/10/2018 02:30],53.20,53.20,53.07,59.76,49.28,37.60,37.60
[22/10/2018 03:00],51.86,51.86,53.07,48.92,47.05,36.53,36.53
[22/10/2018 03:30],51.86,51.86,53.07,48.92,48.32,35.09,35.09
[22/10/2018 04:00],56.80,56.80,53.07,48.92,47.42,35.40,35.40
[22/10/2018 04:30],56.80,56.80,53.07,48.92,48.95,35.00,35.00
[22/10/2018 05:00],58.95,58.95,65.15,51.87,48.70,38.91,38.91
[22/10/2018 05:30],58.95,58.95,65.15,51.87,50.43,38.96,38.96
[22/10/2018 06:00],68.29,68.29,65.15,51.87,50.96,72.00,72.00
[22/10/2018 06:30],68.29,68.29,65.15,51.87,57.96,45.14,45.14
[22/10/2018 07:00],69.40,69.40,65.15,81.35,59.78,45.78,45.78
[22/10/2018 07:30],69.40,69.40,65.15,81.35,77.45,45.03,45.03
[22/10/2018 08:00],79.96,79.96,65.15,81.35,87.26,46.16,46.16
[22/10/2018 08:30],79.96,79.96,65.15,81.35,88.56,88.00,88.00
[22/10/2018 09:00],78.99,78.99,60.39,65.06,76.74,132.76,132.76
[22/10/2018 09:30],78.99,78.99,60.39,65.06,62.25,90.60,90.60
[22/10/2018 10:00],68.00,68.00,60.39,65.06,55.42,48.83,48.83
[22/10/2018 10:30],68.00,68.00,60.39,65.06,54.01,46.66,46.66
[22/10/2018 11:00],61.85,61.85,60.39,53.15,54.90,45.00,45.00
[22/10/2018 11:30],61.85,61.85,60.39,53.15,53.87,45.00,45.00
[22/10/2018 12:00],56.24,56.24,60.39,53.15,56.39,47.00,47.00
[22/10/2018 12:30],56.24,56.24,60.39,53.15,57.98,46.00,46.00
[22/10/2018 13:00],53.50,53.50,,46.22,47.45,46.00,46.00
[22/10/2018 13:30],53.50,53.50,,46.22,44.27,46.05,46.05
[22/10/2018 14:00],53.09,53.09,,46.22,40.05,46.05,46.05
[22/10/2018 14:30],53.09,53.09,,46.22,38.99,48.50,48.50
[22/10/2018 15:00],54.54,54.54,,40.00,33.50,46.06,46.06
[22/10/2018 15:30],54.54,54.54,,40.00,40.04,46.06,46.06
[22/10/2018 16:00],62.96,62.96,,40.00,32.59,49.25,49.25
[22/10/2018 16:30],62.96,62.96,,40.00,23.70,68.00,68.00
[22/10/2018 17:00],80.28,80.28,28.33,19.94,7.95,71.20,71.20
[22/10/2018 17:30],80.28,80.28,28.33,19.94,-1.06,46.64,46.64
[22/10/2018 18:00],101.00,101.00,28.33,19.94,-2.79,65.21,65.21
[22/10/2018 18:30],101.00,101.00,28.33,19.94,3.46,87.93,87.93
[22/10/2018 19:00],83.97,83.97,28.33,38.85,8.14,88.53,88.53
[22/10/2018 19:30],83.97,83.97,28.33,38.85,17.95,48.50,48.50
[22/10/2018 20:00],61.11,61.11,28.33,38.85,57.31,48.50,48.50
[22/10/2018 20:30],61.11,61.11,28.33,38.85,49.48,59.45,59.45
[22/10/2018 21:00],54.02,54.02,64.48,64.09,68.08,63.56,63.56
[22/10/2018 21:30],54.02,54.02,64.48,64.09,69.85,57.50,57.50
[22/10/2018 22:00],49.80,49.80,64.48,64.09,66.91,61.40,61.40
[22/10/2018 22:30],49.80,49.80,64.48,64.09,67.01,64.23,64.23
[22/10/2018 23:00],50.00,50.00,64.48,60.12,62.83,47.75,47.75
[22/10/2018 23:30],50.00,50.00,64.48,60.12,56.50,47.96,47.96
[23/10/2018 00:00],47.79,47.79,,60.12,68.57,73.95,73.95
[23/10/2018 00:30],47.79,47.79,,60.12,61.69,40.80,40.80
[23/10/2018 01:00],45.29,45.29,,55.90,55.94,40.00,40.00
[23/10/2018 01:30],45.29,45.29,,55.90,49.62,33.10,33.10
[23/10/2018 02:00],40.86,40.86,,55.90,47.90,17.50,17.50
[23/10/2018 02:30],40.86,40.86,,55.90,47.95,17.50,17.50
[23/10/2018 03:00],35.75,35.75,,50.20,52.82,17.50,17.50
[23/10/2018 03:30],35.75,35.75,,50.20,58.50,17.15,17.15
[23/10/2018 04:00],44.28,44.28,54.49,50.20,60.17,17.72,17.72
[23/10/2018 04:30],44.28,44.28,54.49,50.20,62.29,17.50,17.50
[23/10/2018 05:00],49.14,49.14,63.32,55.97,51.16,6.79,6.79
[23/10/2018 05:30],49.14,49.14,63.32,55.97,51.33,17.50,17.50
[23/10/2018 06:00],65.30,65.30,63.32,55.97,51.82,74.00,74.00
[23/10/2018 06:30],65.30,65.30,63.32,55.97,59.05,47.00,47.00
[23/10/2018 07:00],69.33,69.33,63.32,70.76,53.00,80.00,80.00
[23/10/2018 07:30],69.33,69.33,63.32,70.76,56.82,82.00,82.00
[23/10/2018 08:00],72.00,72.00,63.32,70.76,70.87,80.00,80.00
[23/10/2018 08:30],72.00,72.00,63.32,70.76,83.72,80.00,80.00
[23/10/2018 09:00],65.61,65.61,60.52,58.45,68.02,78.00,78.00
[23/10/2018 09:30],65.61,65.61,60.52,58.45,58.65,47.15,47.15
[23/10/2018 10:00],63.24,63.24,60.52,58.45,56.21,80.00,80.00
[23/10/2018 10:30],63.24,63.24,60.52,58.45,56.63,78.00,78.00
[23/10/2018 11:00],59.39,59.39,60.52,54.50,57.34,46.06,46.06
[23/10/2018 11:30],59.39,59.39,60.52,54.50,53.98,46.06,46.06
[23/10/2018 12:00],58.27,58.27,60.52,54.50,49.42,47.00,47.00
[23/10/2018 12:30],58.27,58.27,60.52,54.50,50.96,53.42,53.42
[23/10/2018 13:00],53.51,53.51,30.00,41.03,40.13,74.00,74.00
[23/10/2018 13:30],53.51,53.51,30.00,41.03,37.09,74.00,74.00
[23/10/2018 14:00],52.00,52.00,30.00,41.03,32.32,77.19,77.19
[23/10/2018 14:30],52.00,52.00,30.00,41.03,30.36,77.28,77.28
[23/10/2018 15:00],53.52,53.52,30.00,36.74,31.73,46.06,46.06
[23/10/2018 15:30],53.52,53.52,30.00,36.74,34.75,45.00,45.00
[23/10/2018 16:00],58.01,58.01,30.00,36.74,35.68,45.00,45.00
[23/10/2018 16:30],58.01,58.01,30.00,36.74,34.90,73.38,73.38
[23/10/2018 17:00],73.80,73.80,48.10,33.64,33.65,63.98,63.98
[23/10/2018 17:30],73.80,73.80,48.10,33.64,34.73,35.00,35.00
[23/10/2018 18:00],95.10,95.10,48.10,33.64,43.74,88.95,88.95
[23/10/2018 18:30],95.10,95.10,48.10,33.64,57.03,51.32,51.32
[23/10/2018 19:00],80.00,80.00,48.10,60.53,46.69,69.31,69.31
[23/10/2018 19:30],80.00,80.00,48.10,60.53,51.81,28.50,28.50
[23/10/2018 20:00],61.29,61.29,48.10,60.53,74.25,49.00,49.00
[23/10/2018 20:30],61.29,61.29,48.10,60.53,57.86,78.00,78.00
[23/10/2018 21:00],61.10,61.10,69.02,71.82,72.18,45.00,45.00
[23/10/2018 21:30],61.10,61.10,69.02,71.82,69.30,44.80,44.80
[23/10/2018 22:00],54.00,54.00,69.02,71.82,65.85,53.06,53.06
[23/10/2018 22:30],54.00,54.00,69.02,71.82,56.80,45.01,45.01
[23/10/2018 23:00],50.52,50.52,69.02,60.43,65.82,45.01,45.01
[23/10/2018 23:30],50.52,50.52,69.02,60.43,53.77,40.62,40.62
[24/10/2018 00:00],46.34,46.34,69.02,60.43,52.55,74.00,74.00
[24/10/2018 00:30],46.34,46.34,69.02,60.43,50.14,38.87,38.87
[24/10/2018 01:00],44.50,44.50,53.86,49.28,47.19,34.77,34.77
[24/10/2018 01:30],44.50,44.50,53.86,49.28,51.34,79.48,79.48
[24/10/2018 02:00],39.51,39.51,53.86,49.28,54.42,34.77,34.77
[24/10/2018 02:30],39.51,39.51,53.86,49.28,56.03,34.77,34.77
[24/10/2018 03:00],39.97,39.97,53.86,55.95,59.97,74.00,74.00
[24/10/2018 03:30],39.97,39.97,53.86,55.95,55.95,47.71,47.71
[24/10/2018 04:00],45.71,45.71,53.86,55.95,56.71,43.25,43.25
[24/10/2018 04:30],45.71,45.71,53.86,55.95,57.05,43.25,43.25
[24/10/2018 05:00],54.60,54.60,69.01,54.94,54.81,43.25,43.25
[24/10/2018 05:30],54.60,54.60,69.01,54.94,55.96,47.10,47.10
[24/10/2018 06:00],70.40,70.40,69.01,54.94,55.79,80.00,80.00
[24/10/2018 06:30],70.40,70.40,69.01,54.94,67.70,74.90,74.90
[24/10/2018 07:00],66.71,66.71,69.01,77.47,58.83,74.58,74.58
[24/10/2018 07:30],66.71,66.71,69.01,77.47,63.95,51.53,51.53
[24/10/2018 08:00],70.84,70.84,69.01,77.47,74.99,47.10,47.10
[24/10/2018 08:30],70.84,70.84,69.01,77.47,78.28,66.77,66.77
[24/10/2018 09:00],68.57,68.57,63.10,61.87,77.51,82.87,82.87
[24/10/2018 09:30],68.57,68.57,63.10,61.87,59.19,28.50,28.50
[24/10/2018 10:00],66.43,66.43,63.10,61.87,58.85,46.10,46.10
[24/10/2018 10:30],66.43,66.43,63.10,61.87,55.92,46.75,46.75
[24/10/2018 11:00],64.41,64.41,63.10,57.01,55.64,47.25,47.25
