Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn (Max),Sheffield Solar Outturn,National Grid Forecast (Max),Sheffield Solar Upper Bound,Sheffield Solar Lower Bound,National Grid Forecast,Solar Forecast (EnAppSys),Solar D-1 Forecast (EnAppSys),Solar P10 Forecast (EnAppSys),Solar P90 Forecast (EnAppSys)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[19/10/2018 22:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 23:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 23:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 00:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 00:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 01:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 01:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 02:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 02:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 03:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 03:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 04:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 04:30],12960.0,11620.6,0.0,0.0,0.0,0.1,0.0,0.0,,,,
[20/10/2018 05:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 05:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 06:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 06:30],12960.0,11620.6,0.0,0.0,1.0,0.0,0.0,1.0,,,,
[20/10/2018 07:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[20/10/2018 07:30],12960.0,11620.6,55.6,55.6,0.0,57.1,54.0,0.0,,,,
[20/10/2018 08:00],12960.0,11620.6,398.0,398.0,0.0,408.0,389.0,0.0,,,,
[20/10/2018 08:30],12960.0,11620.6,1020.0,1020.0,0.0,1040.0,1000.0,0.0,,,,
[20/10/2018 09:00],12960.0,11620.6,1620.0,1620.0,0.0,1640.0,1600.0,0.0,,,,
[20/10/2018 09:30],12960.0,11620.6,2750.0,2750.0,0.0,2790.0,2710.0,0.0,,,,
[20/10/2018 10:00],12960.0,11620.6,3430.0,3430.0,3170.0,3480.0,3390.0,3170.0,,,,
[20/10/2018 10:30],12960.0,11620.6,4290.0,4290.0,3840.0,4340.0,4240.0,3840.0,,,,
[20/10/2018 11:00],12960.0,11620.6,4420.0,4420.0,4030.0,4460.0,4370.0,4030.0,,,,
[20/10/2018 11:30],12960.0,11620.6,4910.0,4910.0,4490.0,4960.0,4860.0,4490.0,,,,
[20/10/2018 12:00],12960.0,11620.6,5280.0,5280.0,4920.0,5330.0,5240.0,4920.0,,,,
[20/10/2018 12:30],12960.0,11620.6,5760.0,5760.0,5200.0,5810.0,5710.0,5200.0,,,,
[20/10/2018 13:00],12960.0,11620.6,5930.0,5930.0,5330.0,5970.0,5880.0,5330.0,,,,
[20/10/2018 13:30],12960.0,11620.6,5970.0,5970.0,5240.0,6010.0,5920.0,5240.0,,,,
[20/10/2018 14:00],12960.0,11620.6,5440.0,5440.0,4810.0,5490.0,5400.0,4810.0,,,,
[20/10/2018 14:30],12960.0,11620.6,4480.0,4480.0,4290.0,4530.0,4440.0,4290.0,,,,
[20/10/2018 15:00],12960.0,11620.6,3610.0,3610.0,3670.0,3650.0,3570.0,3670.0,,,,
[20/10/2018 15:30],12960.0,11620.6,2760.0,2760.0,2920.0,2800.0,2720.0,2920.0,,,,
[20/10/2018 16:00],12960.0,11620.6,1960.0,1960.0,2130.0,1990.0,1930.0,2130.0,,,,
[20/10/2018 16:30],12960.0,11620.6,1270.0,1270.0,1410.0,1300.0,1250.0,1410.0,,,,
[20/10/2018 17:00],12960.0,11620.6,540.0,540.0,657.0,552.0,527.0,657.0,,,,
[20/10/2018 17:30],12960.0,11620.6,86.2,86.2,129.0,89.0,83.4,129.0,,,,
[20/10/2018 18:00],12960.0,11620.6,1.9,1.9,7.0,2.2,1.7,7.0,,,,
