,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
[23-05],33149,33294,28482,37217,38007,36585,36301,29716,28559,32966,33866,33481,31297,26804,25234,29054,26743,26158,19037,24372
[24-05],32637,28732,27159,38212,38258,36686,35580,28041,33753,33271,33794,33525,28411,25367,28808,28480,28354,26020,18056,27581
[25-05],28521,27210,32419,37731,37834,35751,30662,29306,33776,33762,33884,29096,26553,26699,28453,28110,28236,23290,18757,28101
[26-05],28044,27139,33057,37346,37071,31470,29974,32187,33943,33839,32299,26977,28011,29402,30587,26317,22759,21436,19536,28163
[27-05],32828,31712,33264,36620,32281,30918,31072,33506,33651,33101,28111,27510,31806,29675,30219,23846,22138,22626,22249,27093
[28-05],33572,32031,33058,31046,30261,32220,35304,33636,32598,29001,27643,32978,32411,28631,29068,22797,23927,26682,22575,26804
[29-05],33356,31878,32235,29379,31342,36137,36870,32860,29570,27724,32982,33406,32212,29898,25082,25879,27299,27986,21871,23314
[30-05],33269,31351,27928,30459,35691,36880,36026,28664,27090,29693,33326,33050,31715,26168,23326,27398,28937,25655,21012,21276
[31-05],31826,27850,26168,34940,36175,36237,35374,27828,28720,32809,33459,31461,27982,25568,24420,27864,28858,25452,18969,21829
[01-06],26797,27009,26509,36460,36270,35136,31449,33308,33554,33130,33468,27764,26546,29627,27985,26704,28195,22993,18747,24118
[02-06],25258,32251,31445,36210,35003,31163,30845,34122,33010,33466,32756,26962,31493,29864,29309,28217,24890,21571,22224,24927
[03-06],25201,32806,31430,35510,30907,30398,36079,33960,32983,32503,28859,31631,32179,30058,28455,23377,23544,24457,22588,25860
[04-06],25732,33017,31939,31494,29998,35749,36878,33688,32654,28849,28191,31625,32455,30066,29140,22837,28189,28233,23734,25367
[05-06],31044,32607,31412,30884,35575,35948,35999,33537,29507,28450,28167,32236,31225,29515,26070,27731,27987,27000,23998,22294
[06-06],31894,32298,27741,36295,36019,36106,35962,29634,28693,33431,29253,31963,30422,24011,24111,27388,27079,26140,21532,22856
[07-06],31212,27867,26815,36361,36346,36437,35251,28928,33558,33490,32229,31066,27484,23938,28507,25988,27940,27308,20168,25685
[08-06],27430,26865,32672,36268,36272,35742,31147,33710,34321,33370,33088,27457,25974,29572,29717,28043,27943,22985,21443,25180
[09-06],26969,31962,33518,36380,35436,31612,29870,34458,33990,33560,32182,26902,31375,30269,29702,26744,24482,22765,24254,25317
[10-06],32303,32853,33249,35747,30938,30418,35352,34763,33932,33269,28804,31935,30987,29928,29288,23394,23377,28100,24650,26066
[11-06],32813,32639,33157,31476,30479,35966,35557,34030,33129,29430,28731,32498,31164,29544,29816,21255,26681,27499,25776,24769
[12-06],32717,32686,32035,30509,36767,36527,35586,33283,28851,29091,33805,32466,31503,30293,26487,25959,28011,28625,23364,21632
[13-06],33000,31854,27940,36231,37079,36632,35521,29434,28665,33081,34186,31862,31231,27682,25799,28182,26758,29083,23327,21316
[14-06],32628,27701,26720,36718,36487,36834,34693,28363,33471,33615,33977,31251,27725,26232,30114,27564,24865,27639,21037,24765
[15-06],27750,26310,32526,36961,35931,36069,30591,33669,33545,33827,33458,27086,26670,29677,29895,26194,26438,24058,21082,24964
[16-06],26941,32308,33246,37054,35566,31698,29675,34045,33600,33340,32779,27171,30892,29918,29860,26324,23879,22774,23759,25876
[17-06],32425,33103,33034,36348,31610,30419,34770,33902,33565,32868,29384,31989,31059,29969,29730,23363,23403,25654,24526,27332
[18-06],32682,33021,32773,32001,30375,35622,34786,33349,33051,29092,28616,32599,31630,29075,29174,23228,25757,28019,24797,26897
[19-06],32474,33108,31905,30981,35920,36245,35373,32352,28340,28166,33085,32801,31241,29186,25834,28461,27863,28178,25543,24082
[20-06],32621,31680,27932,36461,36246,36067,34829,29021,27723,33579,33077,33274,30406,27140,24663,28861,27020,26227,23634,23905
[21-06],31496,27558,26967,36458,35755,35877,34586,28247,33356,33343,33107,32147,26663,24425,28623,28809,25027,25785,20298,26664
[22-06],27318,27077,31993,36724,35915,35362,31351,33725,33927,33549,33697,27200,26154,29509,28924,28868,25422,22697,19139,26065
[23-06],26087,32451,32760,37021,35455,31174,29456,34455,33855,33582,32385,26490,31069,30174,29731,26232,23253,23066,21548,25555
[24-06],31172,32505,33509,36730,31244,30570,34723,33851,33994,32733,28361,31625,31697,30140,30249,23054,22503,27644,22450,26674
[25-06],32273,32747,32847,31836,30065,35664,35499,33872,33355,29125,28048,32555,31108,30448,28210,22599,27060,28323,23450,25228
[26-06],32125,33102,31927,29706,35826,35513,35052,33609,29244,28353,32694,32335,31242,30106,25256,27451,27698,27439,23714,22638
[27-06],31994,32632,28681,35476,36178,35910,35275,29860,28098,34237,33616,32489,30994,25504,24591,28979,27373,25537,24215,23395
[28-06],31187,27584,27193,36382,36043,35843,34914,28745,33435,33865,33892,31738,27613,25063,27339,28895,27344,24780,20530,26999
[29-06],27155,26413,32018,36582,36064,35128,30544,34116,34403,33103,33830,27498,25937,29566,29792,28657,26387,23346,17561,26987
[30-06],26408,32866,33012,36324,35670,31927,29537,35086,34301,32888,31797,26082,30818,30003,29657,28229,22729,21148,21489,26450
[01-07],32105,33195,33201,35324,31382,30590,34601,35466,33834,32246,28158,30950,31234,31394,28921,23240,23085,24602,24424,26224
