Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[25/10/2018 23:00],25853,26431,,28229,25872,26167,26667
[25/10/2018 23:30],24294,24991,,28229,25872,24500,25061
[26/10/2018 00:00],23068,23852,,25778,24048,23600,24175
[26/10/2018 00:30],22425,23298,,25778,24048,22775,23355
[26/10/2018 01:00],22354,23812,,25333,24579,22600,23984
[26/10/2018 01:30],22584,24292,,25333,24579,23100,24811
[26/10/2018 02:00],22549,24267,,25478,23924,22807,24511
[26/10/2018 02:30],22235,23948,,25478,23924,22321,24016
[26/10/2018 03:00],21827,23528,,24386,23182,21868,23561
[26/10/2018 03:30],21592,23297,,24386,23182,21589,23272
[26/10/2018 04:00],21249,22929,,23546,23170,21400,23081
[26/10/2018 04:30],21454,23138,,23546,23170,21537,23212
[26/10/2018 05:00],22168,23838,,25215,25239,22259,23934
[26/10/2018 05:30],23462,25119,,25215,25239,23494,25131
[26/10/2018 06:00],26299,27635,,30162,30466,26231,27468
[26/10/2018 06:30],28978,29889,,30162,30466,28827,29719
[26/10/2018 07:00],32347,32948,,36244,35653,32198,32787
[26/10/2018 07:30],34016,34713,,36244,35653,34248,34944
[26/10/2018 08:00],35168,36070,,38737,37444,35600,36520
[26/10/2018 08:30],35498,36525,,38737,37444,35601,36597
[26/10/2018 09:00],35460,36452,,39454,38037,35800,36775
[26/10/2018 09:30],34863,35872,,39454,38037,35353,36343
[26/10/2018 10:00],33708,35220,,38229,37889,34546,36033
[26/10/2018 10:30],33079,34568,,38229,37889,33800,35260
[26/10/2018 11:00],32719,34837,,37660,37982,33048,35262
[26/10/2018 11:30],32420,34463,,37660,37982,32510,34641
[26/10/2018 12:00],32054,33850,,38005,38146,32201,33958
[26/10/2018 12:30],31849,33431,,38005,38146,31729,33486
[26/10/2018 13:00],30977,32845,,37112,37571,31482,33311
[26/10/2018 13:30],30524,32391,,37112,37571,31362,33191
[26/10/2018 14:00],30626,32601,,36567,36889,31305,33243
[26/10/2018 14:30],30300,32281,,36567,36889,31300,33238
[26/10/2018 15:00],30683,32613,,36186,36944,31640,33533
[26/10/2018 15:30],31340,33256,,36186,36944,32251,34144
[26/10/2018 16:00],32521,33088,,38310,38349,33368,33868
[26/10/2018 16:30],33841,34353,,38310,38349,34872,35372
