Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[06/08/2021 20:00],26331,26842,26756,,,26300,26800
[06/08/2021 20:30],26078,26587,26473,,,26530,27030
[06/08/2021 21:00],26117,26623,26546,,,26348,26848
[06/08/2021 21:30],25691,26201,26151,,,25325,25825
[06/08/2021 22:00],24653,25242,25105,,,24208,24798
[06/08/2021 22:30],23315,24023,23769,,,22939,23583
[06/08/2021 23:00],22038,22654,22358,,,21583,22292
[06/08/2021 23:30],20696,21510,21185,,,20540,21194
[07/08/2021 00:00],19900,21382,20352,,,19640,20849
[07/08/2021 00:30],19142,21006,19568,,,18903,20450
[07/08/2021 01:00],18561,20590,18982,,,18213,20384
[07/08/2021 01:30],18351,20416,18777,,,17910,20107
[07/08/2021 02:00],17927,20237,18347,,,17478,19936
[07/08/2021 02:30],17580,19997,18030,,,17050,19621
[07/08/2021 03:00],17377,20028,17802,,,16822,19773
[07/08/2021 03:30],17198,19932,17614,,,16742,19651
[07/08/2021 04:00],17176,19606,17601,,,16906,19775
[07/08/2021 04:30],17165,19530,17583,,,16900,19688
[07/08/2021 05:00],17357,19469,17767,,,17010,19547
[07/08/2021 05:30],17259,19230,17669,,,17154,19362
[07/08/2021 06:00],18279,19617,18661,,,17955,19426
[07/08/2021 06:30],19062,20117,19453,,,18745,19950
[07/08/2021 07:00],20154,20671,20545,,,19898,20398
[07/08/2021 07:30],20951,21464,21368,,,20632,21132
[07/08/2021 08:00],22058,22570,22470,,,21973,22473
[07/08/2021 08:30],22715,23223,23111,,,22500,23000
[07/08/2021 09:00],23287,23800,23676,,,23074,23574
[07/08/2021 09:30],23587,24097,24011,,,23245,23745
[07/08/2021 10:00],23717,24227,24123,,,23300,23800
[07/08/2021 10:30],23831,24385,24262,,,23299,23843
[07/08/2021 11:00],23662,24173,24095,,,23600,24100
[07/08/2021 11:30],23693,24204,24114,,,23563,24063
[07/08/2021 12:00],23828,24342,24234,,,23498,23998
[07/08/2021 12:30],23717,24227,24141,,,23404,23904
[07/08/2021 13:00],23560,24070,23986,,,23136,23636
[07/08/2021 13:30],23176,23685,23590,,,22857,23357
[07/08/2021 14:00],22889,23398,23324,,,22779,23279
[07/08/2021 14:30],22603,23113,23025,,,22560,23060
[07/08/2021 15:00],22486,23000,22898,,,22500,23000
[07/08/2021 15:30],22629,23143,23011,,,22562,23062
[07/08/2021 16:00],23338,23852,23750,,,23183,23683
[07/08/2021 16:30],24225,24740,24578,,,23894,24394
[07/08/2021 17:00],25184,25699,25601,,,24792,25292
[07/08/2021 17:30],25889,26405,26288,,,25473,25973
[07/08/2021 18:00],26329,26838,26740,,,25910,26410
[07/08/2021 18:30],26359,26871,26775,,,25920,26420
[07/08/2021 19:00],26457,26973,26837,,,25795,26295
[07/08/2021 19:30],26409,26923,26771,,,25516,26016
[07/08/2021 20:00],25988,26505,26426,,,25450,25950
[07/08/2021 20:30],25708,26223,26127,,,25710,26210
[07/08/2021 21:00],25494,26011,25933,,,25352,25852
[07/08/2021 21:30],24648,25167,25102,,,24960,25460
[07/08/2021 22:00],23581,24097,24008,,,23901,24401
[07/08/2021 22:30],22270,22872,22673,,,22682,23182
[07/08/2021 23:00],20920,21496,21386,,,21334,21834
[07/08/2021 23:30],19865,20621,20295,,,20220,20720
[08/08/2021 00:00],19102,19975,19528,,,19380,20081
[08/08/2021 00:30],18498,19978,18936,,,18634,19848
[08/08/2021 01:00],17915,19427,18356,,,18093,19734
[08/08/2021 01:30],17670,19481,18103,,,17820,19687
[08/08/2021 02:00],17156,19702,17605,,,17322,20030
[08/08/2021 02:30],16657,19526,17099,,,16894,19920
[08/08/2021 03:00],16509,19565,16927,,,16701,19892
[08/08/2021 03:30],16418,19538,16840,,,16533,19798
[08/08/2021 04:00],16362,19240,16779,,,16469,19701
[08/08/2021 04:30],16312,19218,16734,,,16352,19573
[08/08/2021 05:00],16374,19148,16794,,,16367,19472
[08/08/2021 05:30],16314,19166,16728,,,16300,19576
[08/08/2021 06:00],16770,19453,17177,,,16814,19629
[08/08/2021 06:30],17168,19673,17560,,,17263,19935
[08/08/2021 07:00],17975,19810,18375,,,18023,19862
[08/08/2021 07:30],18632,20044,19007,,,18781,20248
[08/08/2021 08:00],19981,21189,20404,,,19653,20458
[08/08/2021 08:30],21057,21722,21456,,,20830,21450
[08/08/2021 09:00],21972,22495,22360,,,21550,22050
[08/08/2021 09:30],22567,23081,22950,,,22217,22717
[08/08/2021 10:00],23147,23658,23568,,,22800,23300
[08/08/2021 10:30],23473,23986,23885,,,22807,23307
[08/08/2021 11:00],23788,24298,24204,,,22820,23320
[08/08/2021 11:30],23764,24274,24187,,,22794,23294
[08/08/2021 12:00],23717,24227,24134,,,22980,23480
[08/08/2021 12:30],23337,23846,23753,,,22664,23164
[08/08/2021 13:00],22720,23230,23142,,,22309,22809
[08/08/2021 13:30],22179,22918,22593,,,21813,22359
[08/08/2021 14:00],21953,22964,22368,,,21563,22290
[08/08/2021 14:30],21644,22838,22067,,,21380,22275
[08/08/2021 15:00],21846,22884,22255,,,21451,22184
[08/08/2021 15:30],21912,22753,22314,,,21813,22472
[08/08/2021 16:00],22654,23397,23036,,,22409,23077
[08/08/2021 16:30],23451,24093,23853,,,23320,23962
[08/08/2021 17:00],24399,25189,24797,,,24194,24990
[08/08/2021 17:30],25071,25857,25476,,,24614,25371
[08/08/2021 18:00],25399,26037,25812,,,24951,25560
[08/08/2021 18:30],25361,25989,25789,,,25078,25689
[08/08/2021 19:00],25469,26030,25883,,,25041,25587
[08/08/2021 19:30],25608,26171,26017,,,25300,25847
[08/08/2021 20:00],25593,26145,26014,,,25331,25871
[08/08/2021 20:30],25553,26184,25968,,,25342,25959
[08/08/2021 21:00],25695,26263,26112,,,25640,26193
[08/08/2021 21:30],24901,25638,25338,,,24753,25474
[08/08/2021 22:00],24121,24937,24572,,,23757,24561
[08/08/2021 22:30],22847,23891,23285,,,22393,23426
[08/08/2021 23:00],21447,22414,21867,,,20926,21877
[08/08/2021 23:30],20297,21157,20734,,,19780,20505
[09/08/2021 00:00],19508,20458,19931,,,19180,20048
[09/08/2021 00:30],19001,20096,19419,,,18564,19641
[09/08/2021 01:00],18721,20061,19152,,,18307,19634
[09/08/2021 01:30],18600,19988,19017,,,18310,19686
[09/08/2021 02:00],18368,19715,18795,,,17996,19323
[09/08/2021 02:30],18073,19479,18486,,,17775,19156
[09/08/2021 03:00],18011,19294,18434,,,17609,18845
[09/08/2021 03:30],17998,19128,18427,,,17550,18655
[09/08/2021 04:00],18045,19171,18461,,,17480,18582
[09/08/2021 04:30],18213,19204,18642,,,17556,18522
[09/08/2021 05:00],18858,19377,19275,,,18100,18600
[09/08/2021 05:30],19480,20000,19870,,,18657,19157
[09/08/2021 06:00],21226,21748,21592,,,20560,21060
[09/08/2021 06:30],22503,23025,22904,,,22372,22872
[09/08/2021 07:00],24650,25262,25059,,,24367,24974
[09/08/2021 07:30],26057,26777,26481,,,26017,26717
[09/08/2021 08:00],27201,28125,27619,,,27411,28308
[09/08/2021 08:30],27852,28748,28248,,,28280,29155
[09/08/2021 09:00],28394,29293,28799,,,28480,29365
[09/08/2021 09:30],27963,28899,28389,,,28104,29021
[09/08/2021 10:00],27539,28554,27975,,,27677,28689
[09/08/2021 10:30],27266,28429,27672,,,27630,28791
[09/08/2021 11:00],27014,28215,27461,,,27535,28716
[09/08/2021 11:30],26707,27848,27131,,,27344,28453
[09/08/2021 12:00],26776,27806,27190,,,27435,28443
[09/08/2021 12:30],26527,27527,26939,,,27226,28217
[09/08/2021 13:00],26406,27447,26839,,,26938,27976
[09/08/2021 13:30],25930,27614,26367,,,26510,28199
[09/08/2021 14:00],25993,27430,26410,,,26556,27957
[09/08/2021 14:30],26150,27534,26556,,,26500,27867
[09/08/2021 15:00],26343,27719,26752,,,26517,27878
[09/08/2021 15:30],26713,28007,27142,,,26863,28128
[09/08/2021 16:00],27521,28629,27925,,,27640,28713
[09/08/2021 16:30],28414,29281,28822,,,28459,29313
[09/08/2021 17:00],29283,30102,29690,,,29396,30193
[09/08/2021 17:30],29964,30667,30375,,,29896,30580
[09/08/2021 18:00],30366,31030,30773,,,30329,30970
[09/08/2021 18:30],30209,30769,30628,,,29990,30531
[09/08/2021 19:00],30342,30943,30762,,,29880,30461
[09/08/2021 19:30],30065,30654,30481,,,29583,30163
[09/08/2021 20:00],29239,29987,29646,,,29290,30019
[09/08/2021 20:30],28943,29800,29363,,,29110,29954
[09/08/2021 21:00],28813,29634,29238,,,28490,29298
[09/08/2021 21:30],27910,28949,28382,,,27494,28520
[09/08/2021 22:00],26665,27568,27087,,,26242,27129
[09/08/2021 22:30],25182,26132,25649,,,24991,25926
[09/08/2021 23:00],23680,24550,24137,,,23393,24246
[09/08/2021 23:30],22327,23087,22778,,,22320,23069
[10/08/2021 00:00],21292,22271,21724,,,21300,22268
[10/08/2021 00:30],20624,21704,21045,,,20669,21730
[10/08/2021 01:00],20226,21682,20667,,,20212,21681
[10/08/2021 01:30],20031,21430,20456,,,20020,21453
[10/08/2021 02:00],19692,21344,20128,,,19529,21389
[10/08/2021 02:30],19306,21201,19735,,,19119,21049
[10/08/2021 03:00],19176,20906,19597,,,18904,20646
[10/08/2021 03:30],19074,20794,19478,,,18807,20564
[10/08/2021 04:00],19146,20685,19555,,,18850,20598
[10/08/2021 04:30],19288,20731,19701,,,18982,20678
[10/08/2021 05:00],19652,20977,20058,,,19249,20579
[10/08/2021 05:30],20378,21413,20816,,,19741,20769
[10/08/2021 06:00],22000,23008,22374,,,21690,22685
[10/08/2021 06:30],23224,24415,23583,,,23073,24253
[10/08/2021 07:00],24892,26347,25299,,,24872,26314
[10/08/2021 07:30],26443,27944,26792,,,26073,27553
[10/08/2021 08:00],27645,29148,28071,,,27144,28624
[10/08/2021 08:30],27938,29443,28333,,,27500,28980
[10/08/2021 09:00],28072,29578,28503,,,27600,29080
[10/08/2021 09:30],27661,29171,28087,,,26819,28299
[10/08/2021 10:00],27498,29001,27920,,,26583,28063
[10/08/2021 10:30],27128,28630,27553,,,26520,28000
[10/08/2021 11:00],26886,28389,27313,,,26244,27724
[10/08/2021 11:30],26960,28464,27377,,,26149,27629
[10/08/2021 12:00],27074,28576,27495,,,26428,27908
[10/08/2021 12:30],26935,28435,27359,,,26396,27876
[10/08/2021 13:00],26486,27985,26916,,,26357,27837
[10/08/2021 13:30],26050,27548,26470,,,26200,27680
[10/08/2021 14:00],25702,27200,26107,,,26314,27794
[10/08/2021 14:30],25578,27076,26006,,,26277,27757
[10/08/2021 15:00],25689,27187,26107,,,26501,27981
[10/08/2021 15:30],25880,27378,26278,,,26989,28469
[10/08/2021 16:00],26346,27844,26739,,,27550,29030
[10/08/2021 16:30],27396,28896,27798,,,28275,29755
[10/08/2021 17:00],28562,30061,28962,,,29113,30593
[10/08/2021 17:30],29564,31043,29971,,,29787,31248
[10/08/2021 18:00],29966,31343,30374,,,29963,31325
[10/08/2021 18:30],30214,31538,30638,,,30030,31328
[10/08/2021 19:00],30308,31485,30741,,,30100,31262
[10/08/2021 19:30],30201,31345,30621,,,29725,30856
[10/08/2021 20:00],29772,30867,30193,,,28900,29983
[10/08/2021 20:30],29662,30762,30082,,,29000,30089
[10/08/2021 21:00],29566,30606,29990,,,28786,29813
[10/08/2021 21:30],28704,29731,29104,,,27871,28885
[10/08/2021 22:00],27359,28440,27816,,,26728,27793
[10/08/2021 22:30],25739,26780,26179,,,25161,26186
[10/08/2021 23:00],24000,24900,24505,,,23421,24297
[10/08/2021 23:30],22717,23467,23180,,,22260,22994
[11/08/2021 00:00],21671,22335,22117,,,21120,21766
[11/08/2021 00:30],20999,21586,21434,,,20498,21077
[11/08/2021 01:00],20456,21328,20891,,,20088,20944
[11/08/2021 01:30],20238,21111,20670,,,20020,20908
[11/08/2021 02:00],19914,21015,20337,,,19845,21111
[11/08/2021 02:30],19594,21035,20011,,,19394,20824
[11/08/2021 03:00],19407,20998,19833,,,19212,20789
[11/08/2021 03:30],19276,20870,19689,,,19065,20636
[11/08/2021 04:00],19341,20931,19764,,,19100,20668
[11/08/2021 04:30],19405,20990,19812,,,19237,20797
[11/08/2021 05:00],19891,21179,20300,,,19610,20884
[11/08/2021 05:30],20319,21557,20697,,,20310,21519
[11/08/2021 06:00],21999,22560,22407,,,21927,22431
[11/08/2021 06:30],23442,23954,23848,,,23172,23672
[11/08/2021 07:00],25246,25757,25677,,,24853,25353
[11/08/2021 07:30],26209,26732,26625,,,26415,26915
[11/08/2021 08:00],27342,27857,27744,,,27682,28182
[11/08/2021 08:30],27692,28211,28112,,,28000,28500
[11/08/2021 09:00],27813,28330,28236,,,28200,28700
[11/08/2021 09:30],27504,28020,27924,,,27685,28185
[11/08/2021 10:00],27044,27651,27485,,,27447,28037
[11/08/2021 10:30],26653,27417,27069,,,26977,27731
[11/08/2021 11:00],26586,27564,27010,,,26837,27801
[11/08/2021 11:30],26462,27541,26884,,,27019,28088
[11/08/2021 12:00],26713,27837,27114,,,27200,28315
[11/08/2021 12:30],26616,27877,27029,,,27164,28420
[11/08/2021 13:00],26402,27706,26816,,,26845,28144
[11/08/2021 13:30],26359,27783,26784,,,26499,27918
[11/08/2021 14:00],26530,28029,26930,,,26251,27731
[11/08/2021 14:30],26657,28156,27066,,,26200,27680
[11/08/2021 15:00],26922,28420,27336,,,26257,27737
[11/08/2021 15:30],27246,28720,27653,,,26356,27800
[11/08/2021 16:00],27790,29237,28180,,,26750,28175
[11/08/2021 16:30],28530,29721,28901,,,27735,28886
[11/08/2021 17:00],29426,30468,29832,,,28832,29858
[11/08/2021 17:30],30002,30989,30388,,,29784,30750
[11/08/2021 18:00],30379,31243,30769,,,30116,30954
[11/08/2021 18:30],30193,30990,30660,,,30282,31062
[11/08/2021 19:00],29593,30312,30023,,,30297,31000
[11/08/2021 19:30],29030,29690,29463,,,29863,30511
[11/08/2021 20:00],28746,29415,29154,,,29110,29765
[11/08/2021 20:30],28694,29388,29109,,,29080,29761
[11/08/2021 21:00],28439,29126,28881,,,28939,29609
[11/08/2021 21:30],27594,28435,28023,,,28070,28888
[11/08/2021 22:00],26559,27438,27038,,,26690,27549
[11/08/2021 22:30],25036,25887,25481,,,25088,25916
[11/08/2021 23:00],23488,24346,23945,,,23340,24182
[11/08/2021 23:30],22103,23139,22547,,,22030,23044
[12/08/2021 00:00],21372,22263,21801,,,21200,22065
[12/08/2021 00:30],20811,21583,21254,,,20490,21243
[12/08/2021 01:00],20323,20923,20746,,,20054,20629
[12/08/2021 01:30],20138,20734,20539,,,19800,20374
[12/08/2021 02:00],19802,20651,20220,,,19484,20328
[12/08/2021 02:30],19508,20379,19938,,,19330,20188
[12/08/2021 03:00],19356,20271,19775,,,19216,20163
[12/08/2021 03:30],19365,20052,19787,,,19166,20113
[12/08/2021 04:00],19225,20143,19635,,,19300,20245
[12/08/2021 04:30],19287,20118,19691,,,19355,20164
[12/08/2021 05:00],19772,20363,20186,,,19832,20406
[12/08/2021 05:30],20373,20982,20780,,,20232,20806
[12/08/2021 06:00],22160,22728,22526,,,21871,22372
[12/08/2021 06:30],23504,24021,23880,,,23315,23815
[12/08/2021 07:00],25198,25756,25634,,,25112,25612
[12/08/2021 07:30],26499,27015,26842,,,26080,26580
[12/08/2021 08:00],27652,28162,28013,,,27230,27730
[12/08/2021 08:30],28137,28647,28555,,,27600,28100
[12/08/2021 09:00],28207,28721,28607,,,27800,28300
[12/08/2021 09:30],28017,28531,28453,,,27262,27762
[12/08/2021 10:00],27600,28114,28025,,,26616,27116
[12/08/2021 10:30],27132,27649,27547,,,26000,26500
[12/08/2021 11:00],26848,27362,27272,,,25857,26357
[12/08/2021 11:30],26684,27198,27099,,,25830,26330
[12/08/2021 12:00],26557,27066,26968,,,26000,26500
[12/08/2021 12:30],26393,26907,26828,,,25956,26456
[12/08/2021 13:00],26088,26602,26497,,,25643,26143
[12/08/2021 13:30],25710,26224,26137,,,25303,25803
[12/08/2021 14:00],25704,26218,26117,,,25057,25557
[12/08/2021 14:30],25539,26050,25944,,,25000,25500
[12/08/2021 15:00],25506,26016,25920,,,25001,25501
[12/08/2021 15:30],25661,26170,26076,,,25043,25543
[12/08/2021 16:00],26164,26676,26582,,,25362,25862
[12/08/2021 16:30],26898,27411,27291,,,26241,26741
[12/08/2021 17:00],27722,28235,28121,,,27219,27719
[12/08/2021 17:30],28501,29011,28911,,,28057,28557
[12/08/2021 18:00],28824,29334,29242,,,28394,28894
[12/08/2021 18:30],28924,29436,29329,,,28400,28900
[12/08/2021 19:00],29357,29873,29766,,,28329,28829
[12/08/2021 19:30],29324,29840,29751,,,28177,28677
[12/08/2021 20:00],28634,29150,29066,,,27720,28220
[12/08/2021 20:30],28441,28958,28859,,,27940,28440
[12/08/2021 21:00],28408,28923,28848,,,27853,28353
[12/08/2021 21:30],27622,28138,28035,,,27064,27564
[12/08/2021 22:00],26328,26849,26770,,,25778,26278
[12/08/2021 22:30],24782,25305,25244,,,24274,24774
[12/08/2021 23:00],23169,23708,23599,,,22622,23122
[12/08/2021 23:30],21836,22481,22251,,,21390,21890
[13/08/2021 00:00],20821,21576,21222,,,20450,20950
[13/08/2021 00:30],20212,21180,20645,,,19739,20292
[13/08/2021 01:00],19706,21360,20142,,,19257,20291
[13/08/2021 01:30],19413,21001,19841,,,18900,19474
[13/08/2021 02:00],18896,20372,19321,,,18448,19409
[13/08/2021 02:30],18573,19799,19005,,,18100,19441
[13/08/2021 03:00],18370,19725,18788,,,17894,19497
[13/08/2021 03:30],18286,19776,18705,,,17848,19577
[13/08/2021 04:00],18348,19950,18771,,,17880,19491
[13/08/2021 04:30],18521,19784,18935,,,17915,19333
[13/08/2021 05:00],19070,19944,19477,,,18327,19180
[13/08/2021 05:30],19582,20394,19983,,,18830,19545
[13/08/2021 06:00],21217,21840,21595,,,20380,20881
[13/08/2021 06:30],22525,23095,22907,,,21671,22171
[13/08/2021 07:00],24363,24931,24738,,,23535,24035
[13/08/2021 07:30],25318,25833,25732,,,24913,25413
[13/08/2021 08:00],26470,26983,26894,,,25931,26431
[13/08/2021 08:30],26797,27311,27206,,,26360,26860
[13/08/2021 09:00],27007,27523,27449,,,26360,26860
[13/08/2021 09:30],26527,27041,26957,,,26616,27116
[13/08/2021 10:00],26221,26733,26639,,,26410,26910
[13/08/2021 10:30],26012,26524,26437,,,26000,26500
[13/08/2021 11:00],25758,26270,26179,,,25675,26175
[13/08/2021 11:30],25649,26161,26099,,,25488,25988
[13/08/2021 12:00],25506,26014,25931,,,25692,26192
[13/08/2021 12:30],25123,25635,25553,,,25352,25852
[13/08/2021 13:00],24436,24947,24852,,,24736,25236
[13/08/2021 13:30],23966,24476,24378,,,24233,24733
[13/08/2021 14:00],23581,24183,24014,,,24047,24637
[13/08/2021 14:30],23165,23780,23582,,,23690,24303
[13/08/2021 15:00],23132,23859,23550,,,23706,24419
[13/08/2021 15:30],23375,24125,23782,,,24073,24685
[13/08/2021 16:00],24135,24659,24522,,,24376,24876
[13/08/2021 16:30],24883,25554,25264,,,25294,25794
[13/08/2021 17:00],25674,26352,26072,,,26068,26576
[13/08/2021 17:30],26369,26950,26788,,,26498,26998
[13/08/2021 18:00],26924,27582,27333,,,26851,27351
[13/08/2021 18:30],27122,27912,27538,,,26945,27445
[13/08/2021 19:00],27071,27659,27477,,,26970,27470
[13/08/2021 19:30],27044,27562,27475,,,26698,27198
[13/08/2021 20:00],26907,27429,27338,,,26470,26970
[13/08/2021 20:30],26823,27342,27244,,,26246,26746
[13/08/2021 21:00],26604,27120,27049,,,26370,26870
[13/08/2021 21:30],26134,26652,26575,,,26014,26514
[13/08/2021 22:00],25242,25827,25691,,,25010,25585
[13/08/2021 22:30],23936,24564,24403,,,23713,24325
[13/08/2021 23:00],22539,23080,22994,,,22302,22818
[13/08/2021 23:30],21393,21909,21836,,,21100,21600
[14/08/2021 00:00],20224,20790,20684,,,20060,20760
[14/08/2021 00:30],19724,20401,20169,,,19222,19922
[14/08/2021 01:00],19118,20418,19575,,,18377,19687
[14/08/2021 01:30],19014,20398,19441,,,18000,19311
[14/08/2021 02:00],18347,19758,18786,,,17628,19440
[14/08/2021 02:30],18022,19701,18441,,,17314,19286
[14/08/2021 03:00],17825,19799,18260,,,17150,19375
[14/08/2021 03:30],17792,19778,18216,,,16994,19117
[14/08/2021 04:00],17705,19426,18120,,,17000,18844
[14/08/2021 04:30],17666,18996,18076,,,17019,18469
[14/08/2021 05:00],17898,19289,18330,,,17186,18740
[14/08/2021 05:30],18008,19424,18401,,,17150,18726
[14/08/2021 06:00],18929,19451,19331,,,18166,18930
[14/08/2021 06:30],19493,20017,19887,,,18981,19744
[14/08/2021 07:00],20618,21140,21006,,,20108,20608
[14/08/2021 07:30],21578,22127,21964,,,20931,21479
[14/08/2021 08:00],22592,23278,22995,,,22082,22754
[14/08/2021 08:30],23171,23842,23577,,,22800,23466
[14/08/2021 09:00],23810,24630,24229,,,23267,24070
[14/08/2021 09:30],23691,24592,24107,,,23478,24361
[14/08/2021 10:00],23804,24605,24232,,,23500,24288
[14/08/2021 10:30],23691,24482,24118,,,23565,24340
[14/08/2021 11:00],23549,24286,23973,,,23404,24136
[14/08/2021 11:30],23428,24248,23850,,,23552,24355
[14/08/2021 12:00],23457,24147,23880,,,23700,24368
[14/08/2021 12:30],23064,23766,23499,,,23681,24378
[14/08/2021 13:00],22637,23394,23064,,,23596,24335
[14/08/2021 13:30],22133,23013,22576,,,23291,24152
[14/08/2021 14:00],21774,22740,22209,,,23079,24037
[14/08/2021 14:30],21714,22949,22124,,,22856,24087
[14/08/2021 15:00],21887,23048,22302,,,22800,23945
[14/08/2021 15:30],22271,23250,22661,,,22987,23947
[14/08/2021 16:00],23121,23791,23498,,,23752,24338
[14/08/2021 16:30],24306,24820,24727,,,24705,25205
[14/08/2021 17:00],25634,26279,26000,,,25758,26389
[14/08/2021 17:30],26434,26990,26831,,,26503,27034
[14/08/2021 18:00],27022,27537,27434,,,27017,27517
[14/08/2021 18:30],27354,27870,27762,,,27128,27628
[14/08/2021 19:00],27366,27883,27783,,,27230,27730
[14/08/2021 19:30],27405,27919,27831,,,27255,27755
[14/08/2021 20:00],27145,27659,27561,,,26980,27480
[14/08/2021 20:30],27232,27745,27645,,,26740,27240
[14/08/2021 21:00],26888,27402,27330,,,26728,27228
[14/08/2021 21:30],26049,26566,26473,,,26041,26541
[14/08/2021 22:00],25089,25604,25562,,,25114,25614
[14/08/2021 22:30],23792,24321,24280,,,23894,24409
[14/08/2021 23:00],22877,23391,23298,,,22584,23084
[14/08/2021 23:30],21828,22344,22289,,,21600,22100
[15/08/2021 00:00],20885,21400,21323,,,20820,21320
[15/08/2021 00:30],20314,20829,20738,,,20038,20538
[15/08/2021 01:00],19592,20240,20048,,,19423,19923
[15/08/2021 01:30],19289,20083,19708,,,19100,19606
[15/08/2021 02:00],18816,19687,19250,,,18726,19383
[15/08/2021 02:30],18332,19305,18763,,,18274,18931
[15/08/2021 03:00],17988,19106,18406,,,18077,18916
[15/08/2021 03:30],18062,18928,18494,,,17907,18759
[15/08/2021 04:00],17952,18871,18374,,,17849,18754
[15/08/2021 04:30],17879,18958,18310,,,17734,18647
[15/08/2021 05:00],18029,19253,18451,,,17761,18751
[15/08/2021 05:30],17841,19150,18257,,,17700,18586
[15/08/2021 06:00],18330,18991,18743,,,18119,18705
[15/08/2021 06:30],18815,19558,19208,,,18462,19096
[15/08/2021 07:00],19539,20436,19958,,,19128,19969
[15/08/2021 07:30],20223,21042,20625,,,19779,20581
[15/08/2021 08:00],21292,22189,21696,,,20538,21406
[15/08/2021 08:30],22023,22749,22419,,,21600,22309
[15/08/2021 09:00],22738,23398,23154,,,22206,22851
[15/08/2021 09:30],23156,23805,23565,,,23011,23648
[15/08/2021 10:00],23522,24063,23936,,,23330,23858
[15/08/2021 10:30],23472,24018,23891,,,23383,23915
[15/08/2021 11:00],23541,24055,23960,,,23442,23942
[15/08/2021 11:30],23609,24123,24019,,,23461,23961
[15/08/2021 12:00],23815,24329,24240,,,23700,24200
[15/08/2021 12:30],23740,24252,24157,,,23595,24095
[15/08/2021 13:00],23549,24061,23977,,,23448,23948
[15/08/2021 13:30],23227,23735,23649,,,23145,23645
[15/08/2021 14:00],22989,23517,23403,,,23100,23617
[15/08/2021 14:30],23051,23565,23475,,,23118,23627
[15/08/2021 15:00],23478,24143,23899,,,23221,23881
[15/08/2021 15:30],23939,24523,24332,,,23640,24215
[15/08/2021 16:00],24857,25369,25238,,,24315,24815
[15/08/2021 16:30],26009,26524,26375,,,25332,25832
[15/08/2021 17:00],26859,27376,27250,,,26313,26813
[15/08/2021 17:30],27504,28021,27912,,,26800,27300
[15/08/2021 18:00],27484,27995,27901,,,27200,27700
[15/08/2021 18:30],27537,28055,27963,,,27025,27525
[15/08/2021 19:00],27522,28035,27944,,,26847,27347
[15/08/2021 19:30],27224,27740,27641,,,26541,27041
[15/08/2021 20:00],26936,27452,27354,,,26300,26800
[15/08/2021 20:30],26811,27327,27224,,,26102,26602
[15/08/2021 21:00],26540,27053,26965,,,26200,26700
[15/08/2021 21:30],25235,25829,25645,,,25168,25673
[15/08/2021 22:00],24085,24778,24571,,,24034,24689
[15/08/2021 22:30],22820,23500,23269,,,22539,23132
[15/08/2021 23:00],21319,22208,21727,,,20953,21543
[15/08/2021 23:30],20074,21395,20507,,,19700,20200
[16/08/2021 00:00],19116,20445,19552,,,18900,19763
[16/08/2021 00:30],18470,20273,18890,,,18330,19818
[16/08/2021 01:00],18174,19987,18588,,,17983,19835
[16/08/2021 01:30],17979,20027,18400,,,17800,19743
[16/08/2021 02:00],17571,20426,18013,,,17557,20512
[16/08/2021 02:30],17263,20322,17678,,,17244,20332
[16/08/2021 03:00],17157,20200,17587,,,17133,20311
[16/08/2021 03:30],17032,20193,17452,,,17095,20300
[16/08/2021 04:00],17133,20443,17551,,,17100,20567
[16/08/2021 04:30],17309,20577,17730,,,17125,20502
[16/08/2021 05:00],17981,20233,18368,,,17538,20005
[16/08/2021 05:30],18743,20523,19138,,,18125,20157
[16/08/2021 06:00],20622,21535,21026,,,19866,20857
[16/08/2021 06:30],22066,22738,22393,,,21312,22108
[16/08/2021 07:00],24021,24538,24327,,,23028,23528
[16/08/2021 07:30],25534,26048,25930,,,24126,24626
[16/08/2021 08:00],26860,27459,27266,,,25282,25867
[16/08/2021 08:30],27621,28258,28022,,,25860,26493
[16/08/2021 09:00],27960,28721,28369,,,26510,27288
[16/08/2021 09:30],28148,29065,28564,,,26315,27237
[16/08/2021 10:00],28175,29049,28575,,,26615,27472
[16/08/2021 10:30],28035,28886,28458,,,25990,26834
[16/08/2021 11:00],28183,28822,28602,,,25798,26414
[16/08/2021 11:30],28299,28824,28720,,,27983,28506
[16/08/2021 12:00],28453,28958,28865,,,28060,28560
[16/08/2021 12:30],28400,28907,28818,,,27600,28100
[16/08/2021 13:00],28320,28828,28752,,,27195,27695
[16/08/2021 13:30],28044,28556,28475,,,26660,27160
[16/08/2021 14:00],27804,28363,28255,,,26837,27389
[16/08/2021 14:30],27450,28078,27882,,,27028,27656
[16/08/2021 15:00],27344,28123,27753,,,27348,28125
[16/08/2021 15:30],27280,28141,27698,,,27608,28453
[16/08/2021 16:00],27345,28151,27760,,,28083,28858
[16/08/2021 16:30],28014,28611,28410,,,28796,29379
[16/08/2021 17:00],28904,29612,29327,,,29506,30201
[16/08/2021 17:30],29428,29990,29835,,,29893,30432
[16/08/2021 18:00],29796,30312,30196,,,30150,30650
[16/08/2021 18:30],29973,30483,30387,,,30400,30900
