Date (WET),Derated Margin,Derated Margin (HR M-2),Derated Margin (HR M-4),Derated Margin (HR M-8),Derated Margin (Noon 0),Derated Margin (Noon 1),System Sell Price (SSP),System Buy Price (SBP),STOR Window,LOLP (Noon 0),LOLP (Noon 1),LOLP (HR M-8),LOLP (HR M-4),LOLP (HR M-2),LOLP (Loss of Load Probability),NIV (Net Imbalance Volume),Non-BM STOR Generation
,MW,MW,MW,MW,MW,MW,GBP/MWh,GBP/MWh,,%,%,%,%,%,%,MW,MW
[30/01/2017 00:00],11278.57,11402.16,11452.71,11501.97,11792.38,12101.97,48.29,48.29,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-477.66,0.00
[31/01/2017 00:00],12518.40,12685.28,12760.75,12863.05,17152.14,12063.35,62.91,62.91,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-246.72,30.60
[01/02/2017 00:00],13957.90,14158.93,14422.67,14756.50,12041.44,20779.86,42.87,42.86,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-685.50,17.26
[02/02/2017 00:00],15592.19,15608.25,15641.49,15838.76,17570.05,15376.12,36.26,36.26,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-904.12,0.00
[03/02/2017 00:00],16042.37,16298.11,16467.27,16895.82,16655.52,18376.95,43.11,43.11,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-482.28,2.88
[04/02/2017 00:00],14286.87,14403.47,14672.65,15216.42,14711.73,14099.19,57.72,57.71,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-446.12,60.10
[05/02/2017 00:00],13635.73,13654.43,13594.77,13650.06,12870.28,10306.03,47.21,47.20,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-435.96,26.42
[06/02/2017 00:00],14343.65,14500.75,14629.28,14494.83,13682.39,13001.03,55.81,55.81,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-151.62,33.76
[07/02/2017 00:00],13200.31,13367.21,13499.87,13621.03,14428.37,14119.78,54.01,54.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-347.14,21.10
[08/02/2017 00:00],12220.16,12317.37,12472.54,12881.39,14099.50,14444.43,54.01,54.01,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-338.38,10.42
[09/02/2017 00:00],12702.00,13056.58,13463.48,13744.89,14603.32,15620.18,70.65,70.65,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-41.22,43.94
[10/02/2017 00:00],10150.31,10435.17,10686.29,11047.13,11595.07,12776.18,63.34,63.34,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-35.56,66.94
[11/02/2017 00:00],14199.96,14356.14,14612.74,15335.97,15495.06,16586.27,63.34,63.34,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-71.22,9.38
