Date (WET),Capacity,Total Accepted Balancing Level,Wind Outturn,National Grid Forecast,EnAppSys Forecast Trend-Adjusted,EnAppSys Forecast Unadjusted
,MW,MW,MW,MW,MW,MW
[05/12/2020 05:30],17983.0,43.1,7690.0,8239.0,7838.0,8090.3
[05/12/2020 06:00],17983.0,14.1,7610.7,7706.0,7699.0,8022.6
[05/12/2020 06:30],17983.0,138.8,7323.8,7706.0,7497.6,7760.8
[05/12/2020 07:00],17983.0,117.2,7269.0,6942.0,7118.4,7426.3
[05/12/2020 07:30],17983.0,2.7,7297.3,6942.0,6976.5,6990.9
[05/12/2020 08:00],17983.0,0.0,6840.8,6026.0,7029.4,6605.1
[05/12/2020 08:30],17983.0,0.0,6191.3,6026.0,6359.8,6074.9
[05/12/2020 09:00],17983.0,0.0,5187.5,5215.0,5736.3,5580.1
[05/12/2020 09:30],17983.0,0.0,4683.7,5215.0,4817.7,5137.9
[05/12/2020 10:00],17983.0,0.0,3940.3,4441.0,4427.4,4732.3
[05/12/2020 10:30],17983.0,0.0,3650.2,4441.0,3597.1,4194.0
[05/12/2020 11:00],17983.0,0.0,3176.2,3533.0,3474.3,3829.8
[05/12/2020 11:30],17983.0,0.0,2803.7,3533.0,2915.6,3394.0
[05/12/2020 12:00],17983.0,0.0,2724.8,2813.0,2613.1,3004.6
[05/12/2020 12:30],17983.0,0.0,2675.2,2813.0,2620.9,2761.0
[05/12/2020 13:00],17983.0,0.0,2320.2,2389.0,2639.1,2649.2
[05/12/2020 13:30],17983.0,0.0,2087.3,2389.0,2253.3,2500.8
[05/12/2020 14:00],17983.0,0.0,2046.5,2167.0,2088.3,2391.2
[05/12/2020 14:30],17983.0,0.0,2135.2,2167.0,2029.8,2245.3
[05/12/2020 15:00],17983.0,0.0,2350.7,2069.0,2115.5,2134.1
[05/12/2020 15:30],17983.0,0.0,2502.8,2069.0,2305.9,2030.9
[05/12/2020 16:00],17983.0,0.0,2739.7,2127.0,2370.0,1887.3
[05/12/2020 16:30],17983.0,0.0,2864.7,2127.0,2578.8,1779.3
[05/12/2020 17:00],17983.0,0.0,2987.8,2047.0,2692.3,1696.6
[05/12/2020 17:30],17983.0,0.0,2824.0,2047.0,2780.1,1565.0
[05/12/2020 18:00],17983.0,0.0,2576.8,2089.0,2588.6,1500.1
[05/12/2020 18:30],17983.0,0.0,2351.2,2089.0,2433.3,1493.4
[05/12/2020 19:00],17983.0,0.0,2221.0,2036.0,2253.9,1510.3
[05/12/2020 19:30],17983.0,0.0,1960.8,2036.0,2157.0,1510.8
[05/12/2020 20:00],17983.0,0.0,1781.2,1999.0,1892.5,1509.2
[05/12/2020 20:30],17983.0,0.0,1635.8,1999.0,1748.9,1529.9
[05/12/2020 21:00],17983.0,0.0,1593.8,1670.0,1634.3,1560.9
[05/12/2020 21:30],17983.0,0.0,1648.5,1670.0,1549.5,1470.2
[05/12/2020 22:00],17983.0,0.0,1679.8,1611.0,1542.0,1335.4
[05/12/2020 22:30],17983.0,0.0,1633.8,1611.0,1519.2,1221.8
[05/12/2020 23:00],17983.0,0.0,1555.8,1624.0,1494.0,1129.7
[05/12/2020 23:30],17983.0,0.0,1523.5,1624.0,1402.4,918.2
[06/12/2020 00:00],17983.0,0.0,1563.8,1596.0,1400.4,860.4
[06/12/2020 00:30],17983.0,0.0,1517.7,1596.0,1447.8,808.0
[06/12/2020 01:00],17983.0,0.0,1549.5,1634.0,1414.9,806.4
[06/12/2020 01:30],17983.0,0.0,1707.7,1634.0,1426.6,775.6
[06/12/2020 02:00],17983.0,0.0,1744.2,1780.0,1605.6,772.2
[06/12/2020 02:30],17983.0,0.0,1838.3,1780.0,1594.4,762.9
[06/12/2020 03:00],17983.0,0.0,1981.5,1901.0,1720.7,766.2
[06/12/2020 03:30],17983.0,0.0,1927.8,1901.0,1843.2,781.4
[06/12/2020 04:00],17983.0,0.0,1821.8,1948.0,1808.6,800.2
[06/12/2020 04:30],17983.0,0.0,1752.5,1948.0,1683.3,822.4
[06/12/2020 05:00],17983.0,0.0,1800.0,2055.0,1650.5,866.7
[06/12/2020 05:30],17983.0,0.0,1857.3,2055.0,1730.8,942.8
[06/12/2020 06:00],17983.0,0.0,1880.0,2183.0,1810.6,979.9
[06/12/2020 06:30],17983.0,0.0,1818.2,2183.0,1826.4,1000.5
[06/12/2020 07:00],17983.0,0.0,1671.5,2015.0,1715.4,1032.1
[06/12/2020 07:30],17983.0,0.0,1570.7,2015.0,1585.1,1038.8
[06/12/2020 08:00],17983.0,0.0,1411.3,1930.0,1508.4,1058.2
[06/12/2020 08:30],17983.0,0.0,1315.5,1930.0,1368.2,1063.6
[06/12/2020 09:00],17983.0,0.0,1169.0,1783.0,1313.8,1089.7
[06/12/2020 09:30],17983.0,0.0,1058.0,1783.0,1127.5,1076.2
[06/12/2020 10:00],17983.0,0.0,952.2,1494.0,915.1,911.5
[06/12/2020 10:30],17983.0,0.0,763.5,1494.0,858.7,779.7
[06/12/2020 11:00],17983.0,0.0,601.5,1241.0,723.7,690.6
[06/12/2020 11:30],17983.0,0.0,535.2,1241.0,648.2,749.8
[06/12/2020 12:00],17983.0,0.0,528.3,1086.0,626.0,683.2
[06/12/2020 12:30],17983.0,0.0,423.5,1086.0,572.8,603.9
[06/12/2020 13:00],17983.0,0.0,347.0,975.0,461.5,499.4
[06/12/2020 13:30],17983.0,0.0,279.2,975.0,365.3,407.5
[06/12/2020 14:00],17983.0,0.0,274.5,923.0,298.0,352.9
[06/12/2020 14:30],17983.0,0.0,299.8,923.0,263.5,294.0
[06/12/2020 15:00],17983.0,0.0,331.0,891.0,266.2,240.4
[06/12/2020 15:30],17983.0,0.0,358.2,891.0,308.3,232.8
[06/12/2020 16:00],17983.0,0.0,380.8,857.0,340.6,242.0
[06/12/2020 16:30],17983.0,0.0,382.5,857.0,330.9,255.1
[06/12/2020 17:00],17983.0,0.0,380.8,835.0,328.8,284.0
[06/12/2020 17:30],17983.0,0.0,425.3,835.0,332.0,264.7
[06/12/2020 18:00],17983.0,0.0,499.8,794.0,383.0,289.7
[06/12/2020 18:30],17983.0,0.0,545.2,794.0,399.8,303.8
[06/12/2020 19:00],17983.0,0.0,575.8,785.0,371.1,313.5
[06/12/2020 19:30],17983.0,0.0,531.2,785.0,326.6,308.9
[06/12/2020 20:00],17983.0,0.0,503.7,732.0,283.4,307.2
[06/12/2020 20:30],17983.0,0.0,489.3,732.0,272.9,299.1
[06/12/2020 21:00],17983.0,0.0,441.0,626.0,274.8,290.9
[06/12/2020 21:30],17983.0,0.0,461.7,626.0,281.7,284.6
[06/12/2020 22:00],17983.0,0.0,497.3,698.0,286.9,273.1
[06/12/2020 22:30],17983.0,0.0,536.8,698.0,272.1,264.9
[06/12/2020 23:00],17983.0,0.0,486.8,782.0,250.2,253.3
[06/12/2020 23:30],17983.0,0.0,461.2,782.0,217.5,206.8
[07/12/2020 00:00],17983.0,0.0,466.8,794.0,205.2,193.6
[07/12/2020 00:30],17983.0,0.0,490.3,794.0,208.2,190.1
[07/12/2020 01:00],17983.0,0.0,548.3,857.0,233.4,179.4
[07/12/2020 01:30],17983.0,0.0,766.2,857.0,274.6,184.8
[07/12/2020 02:00],17983.0,0.0,837.7,916.0,313.4,212.4
[07/12/2020 02:30],17983.0,0.0,816.7,916.0,531.6,282.3
[07/12/2020 03:00],17983.0,0.0,919.5,1010.0,637.3,334.6
[07/12/2020 03:30],17983.0,0.0,1052.0,1010.0,887.5,416.3
[07/12/2020 04:00],17983.0,0.0,1104.0,1160.0,1164.6,591.6
[07/12/2020 04:30],17983.0,0.0,1219.7,1160.0,1210.8,784.1
[07/12/2020 05:00],17983.0,0.0,1257.3,1451.0,1306.6,987.0
[07/12/2020 05:30],17983.0,0.0,1425.3,1451.0,1396.1,1083.5
[07/12/2020 06:00],17983.0,0.0,1439.8,1866.0,1613.8,1291.5
[07/12/2020 06:30],17983.0,0.0,1510.0,1866.0,1510.6,1406.6
[07/12/2020 07:00],17983.0,0.0,1599.0,2237.0,1541.1,1467.8
[07/12/2020 07:30],17983.0,0.0,1888.5,2237.0,1668.8,1568.0
[07/12/2020 08:00],17983.0,0.0,1931.5,2586.0,1963.9,1644.2
[07/12/2020 08:30],17983.0,0.0,2016.5,2586.0,2021.4,1777.0
[07/12/2020 09:00],17983.0,0.0,2124.2,2905.0,2124.5,1941.7
[07/12/2020 09:30],17983.0,0.0,2264.5,2905.0,2241.3,2086.0
[07/12/2020 10:00],17983.0,0.0,2396.5,3092.0,2336.0,2190.2
[07/12/2020 10:30],17983.0,0.0,2375.8,3092.0,2503.2,2315.3
[07/12/2020 11:00],17983.0,0.0,2502.7,3230.0,2441.5,2380.6
[07/12/2020 11:30],17983.0,0.0,2436.2,3230.0,2635.2,2580.6
[07/12/2020 12:00],17983.0,0.0,2568.7,3481.0,2765.5,2702.2
[07/12/2020 12:30],17983.0,0.0,2718.7,3481.0,2689.7,2822.4
[07/12/2020 13:00],17983.0,0.0,2887.3,3785.0,2813.8,2915.7
[07/12/2020 13:30],17983.0,0.0,3110.8,3785.0,2984.9,2969.6
[07/12/2020 14:00],17983.0,0.0,3279.2,4296.0,3196.3,3043.6
[07/12/2020 14:30],17983.0,0.0,3625.3,4296.0,3350.7,3137.0
[07/12/2020 15:00],17983.0,0.0,3936.2,4843.0,3662.8,3171.3
[07/12/2020 15:30],17983.0,0.0,4220.7,4843.0,4036.1,3308.7
[07/12/2020 16:00],17983.0,0.0,4538.8,5435.0,4393.1,3545.0
[07/12/2020 16:30],17983.0,0.0,4771.2,5435.0,4765.7,3804.3
[07/12/2020 17:00],17983.0,0.6,4960.2,6064.0,4920.2,4036.0
[07/12/2020 17:30],17983.0,167.3,5147.8,6064.0,5210.2,4379.1
[07/12/2020 18:00],17983.0,176.7,5474.0,6697.0,5484.1,4856.3
[07/12/2020 18:30],17983.0,377.0,5673.3,6697.0,5631.3,5029.1
[07/12/2020 19:00],17983.0,438.9,5761.5,7296.0,5604.7,4999.7
[07/12/2020 19:30],17983.0,449.4,5898.2,7296.0,5745.4,4979.2
[07/12/2020 20:00],17983.0,382.5,6078.8,7923.0,5864.8,5013.7
[07/12/2020 20:30],17983.0,440.2,6086.2,7923.0,6059.3,5042.5
[07/12/2020 21:00],17983.0,417.8,6284.2,5983.0,6034.6,5064.7
[07/12/2020 21:30],17983.0,523.7,6381.5,5983.0,6233.8,5082.2
[07/12/2020 22:00],17983.0,608.3,6695.8,6068.0,6291.2,5088.7
[07/12/2020 22:30],17983.0,905.7,6557.7,6068.0,6641.2,5102.7
[07/12/2020 23:00],17983.0,991.4,6189.8,6140.0,6583.2,5074.7
[07/12/2020 23:30],17983.0,1028.4,6319.8,6140.0,6280.6,5089.1
[08/12/2020 00:00],17983.0,1231.0,6381.0,6203.0,6439.1,6202.3
[08/12/2020 00:30],17983.0,1446.9,6213.0,6203.0,6629.9,6311.6
[08/12/2020 01:00],17983.0,1433.4,6073.0,6053.0,6375.1,6370.1
[08/12/2020 01:30],17983.0,1439.5,5890.0,6053.0,6292.2,6429.8
[08/12/2020 02:00],17983.0,1328.9,6079.0,5917.0,6073.5,6464.4
[08/12/2020 02:30],17983.0,1360.3,5861.0,5917.0,6228.7,6577.3
[08/12/2020 03:00],17983.0,1485.2,5720.0,5796.0,6136.3,6680.1
[08/12/2020 03:30],17983.0,1689.6,5459.0,5796.0,5809.4,6585.3
[08/12/2020 04:00],17983.0,1730.5,5181.0,5767.0,5656.6,6419.7
