Date (WET),BELGIUM (BE),FRANCE (FR),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[24/09/2021 12:00],11.77,5.04,-11.37,43.27,45.88
[24/09/2021 12:30],11.77,5.04,-11.37,43.27,45.88
[24/09/2021 13:00],14.74,14.74,-12.76,48.91,51.31
[24/09/2021 13:30],14.74,14.74,-12.76,48.91,51.31
[24/09/2021 14:00],14.58,14.58,-10.89,42.16,44.74
[24/09/2021 14:30],14.58,14.58,-10.89,42.16,44.74
[24/09/2021 15:00],41.07,41.07,-5.09,39.33,61.70
[24/09/2021 15:30],41.07,41.07,-5.09,39.33,61.70
[24/09/2021 16:00],11.72,20.59,-4.66,11.16,63.11
[24/09/2021 16:30],11.72,20.59,-4.66,11.16,63.11
[24/09/2021 17:00],-5.34,-5.34,-39.99,-5.34,51.95
[24/09/2021 17:30],-5.34,-5.34,-39.99,-5.34,51.95
[24/09/2021 18:00],8.95,9.47,-40.06,8.95,79.58
[24/09/2021 18:30],8.95,9.47,-40.06,8.95,79.58
[24/09/2021 19:00],22.20,42.38,-28.11,22.20,120.76
[24/09/2021 19:30],22.20,42.38,-28.11,22.20,120.76
[24/09/2021 20:00],18.45,46.53,-26.08,18.45,107.11
[24/09/2021 20:30],18.45,46.53,-26.08,18.45,107.11
[24/09/2021 21:00],-14.81,15.93,-20.91,-14.81,76.28
[24/09/2021 21:30],-14.81,15.93,-20.91,-14.81,76.28
[24/09/2021 22:00],3.32,12.34,-13.64,-5.55,80.27
[24/09/2021 22:30],3.32,12.34,-13.64,-5.55,80.27
[24/09/2021 23:00],26.00,11.11,-2.17,19.74,72.18
[24/09/2021 23:30],26.00,11.11,-2.17,19.74,72.18
[25/09/2021 00:00],6.21,6.21,-17.75,-3.09,46.42
[25/09/2021 00:30],6.21,6.21,-17.75,-3.09,46.42
[25/09/2021 01:00],2.66,2.66,-14.34,-4.09,44.84
[25/09/2021 01:30],2.66,2.66,-14.34,-4.09,44.84
[25/09/2021 02:00],13.04,13.04,-7.74,9.46,44.68
[25/09/2021 02:30],13.04,13.04,-7.74,9.46,44.68
[25/09/2021 03:00],27.40,27.40,-6.40,22.94,47.33
[25/09/2021 03:30],27.40,27.40,-6.40,22.94,47.33
[25/09/2021 04:00],25.21,32.94,-1.46,10.33,56.07
[25/09/2021 04:30],25.21,32.94,-1.46,10.33,56.07
[25/09/2021 05:00],8.59,36.98,4.21,-2.93,61.69
[25/09/2021 05:30],8.59,36.98,4.21,-2.93,61.69
[25/09/2021 06:00],12.96,33.03,4.92,6.39,57.22
[25/09/2021 06:30],12.96,33.03,4.92,6.39,57.22
[25/09/2021 07:00],-4.94,11.16,-3.75,-6.63,49.71
[25/09/2021 07:30],-4.94,11.16,-3.75,-6.63,49.71
[25/09/2021 08:00],20.19,35.39,-1.93,2.99,69.04
[25/09/2021 08:30],20.19,35.39,-1.93,2.99,69.04
[25/09/2021 09:00],78.39,78.39,-2.12,51.50,103.18
[25/09/2021 09:30],78.39,78.39,-2.12,51.50,103.18
[25/09/2021 10:00],79.83,70.37,-9.12,66.59,96.54
[25/09/2021 10:30],79.83,70.37,-9.12,66.59,96.54
[25/09/2021 11:00],94.21,67.88,2.09,94.21,106.76
[25/09/2021 11:30],94.21,67.88,2.09,94.21,106.76
[25/09/2021 12:00],49.20,29.83,-10.52,52.08,55.55
[25/09/2021 12:30],49.20,29.83,-10.52,52.08,55.55
[25/09/2021 13:00],39.16,25.63,-9.76,41.18,44.07
[25/09/2021 13:30],39.16,25.63,-9.76,41.18,44.07
[25/09/2021 14:00],30.81,29.61,-3.72,30.12,33.25
[25/09/2021 14:30],30.81,29.61,-3.72,30.12,33.25
[25/09/2021 15:00],19.67,19.67,-1.43,19.67,28.16
[25/09/2021 15:30],19.67,19.67,-1.43,19.67,28.16
[25/09/2021 16:00],-4.12,3.81,-10.01,-3.69,35.65
[25/09/2021 16:30],-4.12,3.81,-10.01,-3.69,35.65
[25/09/2021 17:00],24.59,32.03,-1.03,25.25,76.45
[25/09/2021 17:30],24.59,32.03,-1.03,25.25,76.45
[25/09/2021 18:00],28.09,52.65,0.91,28.58,107.90
[25/09/2021 18:30],28.09,52.65,0.91,28.58,107.90
[25/09/2021 19:00],52.00,52.00,6.05,52.00,111.29
[25/09/2021 19:30],52.00,52.00,6.05,52.00,111.29
[25/09/2021 20:00],23.79,23.79,2.82,23.79,68.94
[25/09/2021 20:30],23.79,23.79,2.82,23.79,68.94
[25/09/2021 21:00],7.18,7.18,0.05,7.18,49.71
[25/09/2021 21:30],7.18,7.18,0.05,7.18,49.71
[25/09/2021 22:00],6.65,6.65,4.16,6.65,45.49
[25/09/2021 22:30],6.65,6.65,4.16,6.65,45.49
[25/09/2021 23:00],38.25,38.25,16.14,38.25,64.64
[25/09/2021 23:30],38.25,38.25,16.14,38.25,64.64
[26/09/2021 00:00],22.66,22.66,-3.13,22.66,33.89
[26/09/2021 00:30],22.66,22.66,-3.13,22.66,33.89
[26/09/2021 01:00],58.32,58.32,22.71,58.32,61.43
[26/09/2021 01:30],58.32,58.32,22.71,58.32,61.43
[26/09/2021 02:00],51.73,51.73,25.33,51.73,54.36
[26/09/2021 02:30],51.73,51.73,25.33,51.73,54.36
[26/09/2021 03:00],32.43,32.43,15.26,32.43,35.03
[26/09/2021 03:30],32.43,32.43,15.26,32.43,35.03
[26/09/2021 04:00],25.07,25.07,18.65,25.07,27.67
[26/09/2021 04:30],25.07,25.07,18.65,25.07,27.67
[26/09/2021 05:00],24.26,24.26,34.36,24.26,27.32
[26/09/2021 05:30],24.26,24.26,34.36,24.26,27.32
[26/09/2021 06:00],33.76,33.76,46.63,33.76,36.85
[26/09/2021 06:30],33.76,33.76,46.63,33.76,36.85
[26/09/2021 07:00],24.00,24.00,38.60,24.00,27.68
[26/09/2021 07:30],24.00,24.00,38.60,24.00,27.68
[26/09/2021 08:00],46.90,46.90,49.49,46.90,50.05
[26/09/2021 08:30],46.90,46.90,49.49,46.90,50.05
[26/09/2021 09:00],70.28,70.28,63.31,70.28,73.06
[26/09/2021 09:30],70.28,70.28,63.31,70.28,73.06
[26/09/2021 10:00],72.48,72.48,45.25,72.48,75.12
[26/09/2021 10:30],72.48,72.48,45.25,72.48,75.12
[26/09/2021 11:00],51.25,51.25,33.68,51.25,53.98
[26/09/2021 11:30],51.25,51.25,33.68,51.25,53.98
[26/09/2021 12:00],54.35,54.35,14.06,54.35,54.34
[26/09/2021 12:30],54.35,54.35,14.06,54.35,54.34
[26/09/2021 13:00],42.16,42.16,-3.35,42.16,40.48
[26/09/2021 13:30],42.16,42.16,-3.35,42.16,40.48
[26/09/2021 14:00],30.67,30.67,-9.20,30.67,27.99
[26/09/2021 14:30],30.67,30.67,-9.20,30.67,27.99
[26/09/2021 15:00],22.25,22.25,-15.03,22.25,25.32
[26/09/2021 15:30],22.25,22.25,-15.03,22.25,25.32
[26/09/2021 16:00],25.29,25.29,-7.39,25.29,47.40
[26/09/2021 16:30],25.29,25.29,-7.39,25.29,47.40
[26/09/2021 17:00],10.99,10.99,-10.91,10.99,60.73
[26/09/2021 17:30],10.99,10.99,-10.91,10.99,60.73
[26/09/2021 18:00],19.27,19.27,-21.87,19.27,80.66
[26/09/2021 18:30],19.27,19.27,-21.87,19.27,80.66
[26/09/2021 19:00],37.26,37.26,-19.38,37.26,94.14
[26/09/2021 19:30],37.26,37.26,-19.38,37.26,94.14
[26/09/2021 20:00],2.33,2.33,-39.43,2.33,49.13
[26/09/2021 20:30],2.33,2.33,-39.43,2.33,49.13
[26/09/2021 21:00],0.79,0.79,-21.77,0.79,47.27
[26/09/2021 21:30],0.79,0.79,-21.77,0.79,47.27
[26/09/2021 22:00],0.38,0.38,-20.76,0.38,31.56
[26/09/2021 22:30],0.38,0.38,-20.76,0.38,31.56
[26/09/2021 23:00],16.11,16.11,-9.27,16.11,36.74
[26/09/2021 23:30],16.11,16.11,-9.27,16.11,36.74
[27/09/2021 00:00],-0.04,-0.04,-42.48,-0.04,3.27
[27/09/2021 00:30],-0.04,-0.04,-42.48,-0.04,3.27
[27/09/2021 01:00],18.79,18.79,-18.92,18.79,21.43
[27/09/2021 01:30],18.79,18.79,-18.92,18.79,21.43
[27/09/2021 02:00],34.05,34.05,-8.79,34.05,36.53
[27/09/2021 02:30],34.05,34.05,-8.79,34.05,36.53
[27/09/2021 03:00],32.49,32.49,0.16,32.49,34.85
[27/09/2021 03:30],32.49,32.49,0.16,32.49,34.85
[27/09/2021 04:00],5.85,5.85,-8.08,5.85,9.20
[27/09/2021 04:30],5.85,5.85,-8.08,5.85,9.20
[27/09/2021 05:00],-0.65,-0.65,15.30,-0.65,52.33
[27/09/2021 05:30],-0.65,-0.65,15.30,-0.65,52.33
[27/09/2021 06:00],24.02,24.02,40.96,24.02,85.59
[27/09/2021 06:30],24.02,24.02,40.96,24.02,85.59
[27/09/2021 07:00],-6.24,-6.24,0.93,-6.24,58.76
[27/09/2021 07:30],-6.24,-6.24,0.93,-6.24,58.76
[27/09/2021 08:00],36.63,36.63,-0.23,36.63,92.73
[27/09/2021 08:30],36.63,36.63,-0.23,36.63,92.73
[27/09/2021 09:00],31.98,31.98,1.14,31.98,80.87
[27/09/2021 09:30],31.98,31.98,1.14,31.98,80.87
[27/09/2021 10:00],4.84,1.47,-7.84,4.84,39.98
[27/09/2021 10:30],4.84,1.47,-7.84,4.84,39.98
[27/09/2021 11:00],15.93,-1.09,-10.21,15.93,28.52
[27/09/2021 11:30],15.93,-1.09,-10.21,15.93,28.52
[27/09/2021 12:00],47.72,0.16,-11.33,22.15,25.23
[27/09/2021 12:30],47.72,0.16,-11.33,22.15,25.23
[27/09/2021 13:00],42.73,-1.36,-16.57,4.68,7.73
[27/09/2021 13:30],42.73,-1.36,-16.57,4.68,7.73
[27/09/2021 14:00],32.15,-6.60,-17.08,-1.79,3.76
[27/09/2021 14:30],32.15,-6.60,-17.08,-1.79,3.76
[27/09/2021 15:00],-1.30,-5.18,1.23,-1.30,23.91
[27/09/2021 15:30],-1.30,-5.18,1.23,-1.30,23.91
[27/09/2021 16:00],-7.70,-7.70,-1.65,-8.81,37.46
[27/09/2021 16:30],-7.70,-7.70,-1.65,-8.81,37.46
[27/09/2021 17:00],3.98,3.98,4.06,3.98,57.69
[27/09/2021 17:30],3.98,3.98,4.06,3.98,57.69
[27/09/2021 18:00],32.52,32.52,24.15,32.52,96.74
[27/09/2021 18:30],32.52,32.52,24.15,32.52,96.74
[27/09/2021 19:00],63.99,63.99,36.98,63.99,117.27
[27/09/2021 19:30],63.99,63.99,36.98,63.99,117.27
[27/09/2021 20:00],21.66,21.66,2.05,21.66,60.46
[27/09/2021 20:30],21.66,21.66,2.05,21.66,60.46
[27/09/2021 21:00],19.58,11.39,-4.52,19.58,45.89
[27/09/2021 21:30],19.58,11.39,-4.52,19.58,45.89
[27/09/2021 22:00],31.19,3.58,-3.85,38.80,44.96
[27/09/2021 22:30],31.19,3.58,-3.85,38.80,44.96
[27/09/2021 23:00],53.47,37.61,0.26,57.81,65.86
[27/09/2021 23:30],53.47,37.61,0.26,57.81,65.86
[28/09/2021 00:00],18.62,4.82,-10.13,22.31,26.58
[28/09/2021 00:30],18.62,4.82,-10.13,22.31,26.58
[28/09/2021 01:00],18.62,18.62,-11.22,18.62,21.05
[28/09/2021 01:30],18.62,18.62,-11.22,18.62,21.05
[28/09/2021 02:00],11.70,11.70,-14.97,11.70,13.95
[28/09/2021 02:30],11.70,11.70,-14.97,11.70,13.95
[28/09/2021 03:00],1.52,1.52,-18.43,1.52,4.32
[28/09/2021 03:30],1.52,1.52,-18.43,1.52,4.32
[28/09/2021 04:00],19.24,19.24,-11.92,19.24,29.36
[28/09/2021 04:30],19.24,19.24,-11.92,19.24,29.36
[28/09/2021 05:00],4.66,4.66,-3.80,4.66,58.08
[28/09/2021 05:30],4.66,4.66,-3.80,4.66,58.08
[28/09/2021 06:00],12.41,12.41,20.75,12.41,79.93
[28/09/2021 06:30],12.41,12.41,20.75,12.41,79.93
[28/09/2021 07:00],-1.32,-1.32,-6.00,-1.32,66.99
[28/09/2021 07:30],-1.32,-1.32,-6.00,-1.32,66.99
[28/09/2021 08:00],25.16,25.16,-7.83,25.16,86.50
[28/09/2021 08:30],25.16,25.16,-7.83,25.16,86.50
[28/09/2021 09:00],32.19,32.19,-4.82,32.19,82.27
[28/09/2021 09:30],32.19,32.19,-4.82,32.19,82.27
[28/09/2021 10:00],12.93,8.10,-13.35,20.93,55.65
[28/09/2021 10:30],12.93,8.10,-13.35,20.93,55.65
[28/09/2021 11:00],23.95,2.89,-14.28,37.62,48.78
[28/09/2021 11:30],23.95,2.89,-14.28,37.62,48.78
[28/09/2021 12:00],24.78,0.78,-13.96,40.23,43.47
[28/09/2021 12:30],24.78,0.78,-13.96,40.23,43.47
[28/09/2021 13:00],16.80,10.54,-19.85,16.80,33.27
[28/09/2021 13:30],16.80,10.54,-19.85,16.80,33.27
[28/09/2021 14:00],14.56,14.56,-10.05,14.56,43.48
[28/09/2021 14:30],14.56,14.56,-10.05,14.56,43.48
[28/09/2021 15:00],5.62,5.62,-6.35,5.62,49.51
[28/09/2021 15:30],5.62,5.62,-6.35,5.62,49.51
[28/09/2021 16:00],8.34,8.34,-5.04,8.34,63.55
[28/09/2021 16:30],8.34,8.34,-5.04,8.34,63.55
[28/09/2021 17:00],24.50,24.50,1.13,24.50,93.72
[28/09/2021 17:30],24.50,24.50,1.13,24.50,93.72
[28/09/2021 18:00],9.81,9.81,0.40,9.81,112.50
[28/09/2021 18:30],9.81,9.81,0.40,9.81,112.50
[28/09/2021 19:00],54.37,54.37,2.88,54.37,124.32
[28/09/2021 19:30],54.37,54.37,2.88,54.37,124.32
[28/09/2021 20:00],30.44,30.44,-10.18,30.44,87.81
[28/09/2021 20:30],30.44,30.44,-10.18,30.44,87.81
[28/09/2021 21:00],11.23,11.23,-7.62,11.23,60.02
[28/09/2021 21:30],11.23,11.23,-7.62,11.23,60.02
[28/09/2021 22:00],20.94,20.94,-6.24,20.94,48.71
[28/09/2021 22:30],20.94,20.94,-6.24,20.94,48.71
[28/09/2021 23:00],62.05,62.05,-1.46,62.05,73.97
[28/09/2021 23:30],62.05,62.05,-1.46,62.05,73.97
[29/09/2021 00:00],56.36,56.36,-5.45,56.36,61.61
[29/09/2021 00:30],56.36,56.36,-5.45,56.36,61.61
[29/09/2021 01:00],66.53,66.53,-3.94,66.53,68.91
[29/09/2021 01:30],66.53,66.53,-3.94,66.53,68.91
[29/09/2021 02:00],67.39,67.39,-2.16,67.39,69.60
[29/09/2021 02:30],67.39,67.39,-2.16,67.39,69.60
[29/09/2021 03:00],49.57,49.57,-3.87,49.57,50.49
[29/09/2021 03:30],49.57,49.57,-3.87,49.57,50.49
[29/09/2021 04:00],7.44,7.44,-19.62,7.44,11.32
[29/09/2021 04:30],7.44,7.44,-19.62,7.44,11.32
[29/09/2021 05:00],-8.72,-8.72,-9.22,-8.72,38.37
[29/09/2021 05:30],-8.72,-8.72,-9.22,-8.72,38.37
[29/09/2021 06:00],-1.57,-1.57,9.34,-1.57,71.09
[29/09/2021 06:30],-1.57,-1.57,9.34,-1.57,71.09
[29/09/2021 07:00],36.27,36.27,3.64,36.27,114.39
[29/09/2021 07:30],36.27,36.27,3.64,36.27,114.39
[29/09/2021 08:00],49.83,49.83,-1.86,49.83,121.16
[29/09/2021 08:30],49.83,49.83,-1.86,49.83,121.16
[29/09/2021 09:00],41.58,41.58,-6.59,41.58,103.48
[29/09/2021 09:30],41.58,41.58,-6.59,41.58,103.48
[29/09/2021 10:00],4.93,4.93,-24.31,4.93,54.45
[29/09/2021 10:30],4.93,4.93,-24.31,4.93,54.45
[29/09/2021 11:00],48.89,-5.91,-24.85,26.55,42.31
[29/09/2021 11:30],48.89,-5.91,-24.85,26.55,42.31
[29/09/2021 12:00],63.07,2.90,-29.24,30.87,33.65
[29/09/2021 12:30],63.07,2.90,-29.24,30.87,33.65
[29/09/2021 13:00],24.65,-3.73,-38.31,17.45,20.35
[29/09/2021 13:30],24.65,-3.73,-38.31,17.45,20.35
[29/09/2021 14:00],49.13,4.36,-36.91,21.02,23.13
[29/09/2021 14:30],49.13,4.36,-36.91,21.02,23.13
[29/09/2021 15:00],48.64,6.50,-28.04,29.22,31.42
[29/09/2021 15:30],48.64,6.50,-28.04,29.22,31.42
[29/09/2021 16:00],37.49,25.56,-22.96,37.49,51.92
[29/09/2021 16:30],37.49,25.56,-22.96,37.49,51.92
[29/09/2021 17:00],18.37,18.37,-27.34,18.37,72.09
[29/09/2021 17:30],18.37,18.37,-27.34,18.37,72.09
[29/09/2021 18:00],65.80,65.80,1.93,65.80,132.80
[29/09/2021 18:30],65.80,65.80,1.93,65.80,132.80
[29/09/2021 19:00],82.00,91.46,20.61,90.02,152.76
[29/09/2021 19:30],82.00,91.46,20.61,90.02,152.76
[29/09/2021 20:00],80.54,65.19,22.19,105.72,118.87
[29/09/2021 20:30],80.54,65.19,22.19,105.72,118.87
[29/09/2021 21:00],71.07,21.00,15.87,84.42,89.16
[29/09/2021 21:30],71.07,21.00,15.87,84.42,89.16
[29/09/2021 22:00],78.91,-4.34,31.05,75.17,77.61
[29/09/2021 22:30],78.91,-4.34,31.05,75.17,77.61
[29/09/2021 23:00],102.01,63.16,89.67,102.86,118.45
[29/09/2021 23:30],102.01,63.16,89.67,102.86,118.45
[30/09/2021 00:00],107.21,56.42,125.06,119.64,123.72
[30/09/2021 00:30],107.21,56.42,125.06,119.64,123.72
[30/09/2021 01:00],102.58,52.19,123.16,115.82,119.22
[30/09/2021 01:30],102.58,52.19,123.16,115.82,119.22
[30/09/2021 02:00],94.75,87.35,151.32,94.04,95.88
[30/09/2021 02:30],94.75,87.35,151.32,94.04,95.88
[30/09/2021 03:00],58.57,58.57,129.57,54.12,56.55
[30/09/2021 03:30],58.57,58.57,129.57,54.12,56.55
[30/09/2021 04:00],-0.30,-26.21,89.50,-15.22,14.86
[30/09/2021 04:30],-0.30,-26.21,89.50,-15.22,14.86
[30/09/2021 05:00],-9.27,-9.27,65.53,-39.34,35.64
[30/09/2021 05:30],-9.27,-9.27,65.53,-39.34,35.64
[30/09/2021 06:00],-31.76,-11.85,57.48,-31.76,67.63
[30/09/2021 06:30],-31.76,-11.85,57.48,-31.76,67.63
[30/09/2021 07:00],-16.19,-15.40,0.29,-42.35,65.47
[30/09/2021 07:30],-16.19,-15.40,0.29,-42.35,65.47
[30/09/2021 08:00],3.19,3.19,3.10,3.19,81.64
[30/09/2021 08:30],3.19,3.19,3.10,3.19,81.64
[30/09/2021 09:00],64.45,17.24,4.20,68.08,88.72
[30/09/2021 09:30],64.45,17.24,4.20,68.08,88.72
[30/09/2021 10:00],60.97,14.98,-4.01,54.26,72.92
[30/09/2021 10:30],60.97,14.98,-4.01,54.26,72.92
[30/09/2021 11:00],69.45,-2.72,-1.63,72.77,75.31
[30/09/2021 11:30],69.45,-2.72,-1.63,72.77,75.31
[30/09/2021 12:00],87.75,13.80,0.20,85.08,82.72
[30/09/2021 12:30],87.75,13.80,0.20,85.08,82.72
[30/09/2021 13:00],76.24,6.23,-2.54,76.24,73.87
[30/09/2021 13:30],76.24,6.23,-2.54,76.24,73.87
[30/09/2021 14:00],61.23,1.89,-3.28,61.23,61.23
[30/09/2021 14:30],61.23,1.89,-3.28,61.23,61.23
[30/09/2021 15:00],47.34,5.01,-3.51,47.34,58.88
[30/09/2021 15:30],47.34,5.01,-3.51,47.34,58.88
[30/09/2021 16:00],8.36,8.36,-4.61,8.36,68.24
[30/09/2021 16:30],8.36,8.36,-4.61,8.36,68.24
[30/09/2021 17:00],17.94,17.94,-2.35,17.94,101.04
[30/09/2021 17:30],17.94,17.94,-2.35,17.94,101.04
[30/09/2021 18:00],24.74,24.74,12.10,24.74,121.86
[30/09/2021 18:30],24.74,24.74,12.10,24.74,121.86
[30/09/2021 19:00],54.40,54.40,24.34,54.40,133.94
[30/09/2021 19:30],54.40,54.40,24.34,54.40,133.94
[30/09/2021 20:00],59.29,29.11,9.04,60.10,99.48
[30/09/2021 20:30],59.29,29.11,9.04,60.10,99.48
[30/09/2021 21:00],75.95,17.80,4.26,77.69,83.51
[30/09/2021 21:30],75.95,17.80,4.26,77.69,83.51
[30/09/2021 22:00],100.24,16.98,16.23,73.83,76.26
[30/09/2021 22:30],100.24,16.98,16.23,73.83,76.26
[30/09/2021 23:00],,,,,
[30/09/2021 23:30],,,,,
[01/10/2021 00:00],,,,,
[01/10/2021 00:30],,,,,
[01/10/2021 01:00],,,,,
[01/10/2021 01:30],,,,,
[01/10/2021 02:00],,,,,
[01/10/2021 02:30],,,,,
[01/10/2021 03:00],,,,,
[01/10/2021 03:30],,,,,
[01/10/2021 04:00],,,,,
[01/10/2021 04:30],,,,,
[01/10/2021 05:00],,,,,
[01/10/2021 05:30],,,,,
[01/10/2021 06:00],,,,,
[01/10/2021 06:30],,,,,
[01/10/2021 07:00],,,,,
[01/10/2021 07:30],,,,,
[01/10/2021 08:00],,,,,
[01/10/2021 08:30],,,,,
[01/10/2021 09:00],,,,,
[01/10/2021 09:30],,,,,
[01/10/2021 10:00],,,,,
[01/10/2021 10:30],,,,,
[01/10/2021 11:00],,,,,
[01/10/2021 11:30],,,,,
[01/10/2021 12:00],,,,,
[01/10/2021 12:30],,,,,
[01/10/2021 13:00],,,,,
[01/10/2021 13:30],,,,,
[01/10/2021 14:00],,,,,
[01/10/2021 14:30],,,,,
[01/10/2021 15:00],,,,,
[01/10/2021 15:30],,,,,
[01/10/2021 16:00],,,,,
[01/10/2021 16:30],,,,,
[01/10/2021 17:00],,,,,
[01/10/2021 17:30],,,,,
[01/10/2021 18:00],,,,,
[01/10/2021 18:30],,,,,
[01/10/2021 19:00],,,,,
[01/10/2021 19:30],,,,,
[01/10/2021 20:00],,,,,
[01/10/2021 20:30],,,,,
[01/10/2021 21:00],,,,,
[01/10/2021 21:30],,,,,
[01/10/2021 22:00],,,,,
[01/10/2021 22:30],,,,,
[01/10/2021 23:00],81.62,81.62,-6.48,81.62,104.29
[01/10/2021 23:30],81.62,81.62,-6.48,81.62,104.29
[02/10/2021 00:00],72.44,72.44,-4.25,72.44,84.77
[02/10/2021 00:30],72.44,72.44,-4.25,72.44,84.77
[02/10/2021 01:00],81.79,81.79,5.97,81.79,92.39
[02/10/2021 01:30],81.79,81.79,5.97,81.79,92.39
[02/10/2021 02:00],76.85,76.85,5.12,76.85,79.68
[02/10/2021 02:30],76.85,76.85,5.12,76.85,79.68
[02/10/2021 03:00],44.54,44.54,2.92,44.54,47.43
[02/10/2021 03:30],44.54,44.54,2.92,44.54,47.43
[02/10/2021 04:00],18.45,18.45,-0.34,18.45,25.43
[02/10/2021 04:30],18.45,18.45,-0.34,18.45,25.43
[02/10/2021 05:00],19.87,19.87,0.08,19.87,55.31
[02/10/2021 05:30],19.87,19.87,0.08,19.87,55.31
[02/10/2021 06:00],36.16,36.16,4.77,36.16,87.74
[02/10/2021 06:30],36.16,36.16,4.77,36.16,87.74
[02/10/2021 07:00],36.59,36.59,10.35,36.59,94.63
[02/10/2021 07:30],36.59,36.59,10.35,36.59,94.63
[02/10/2021 08:00],58.53,58.53,-0.50,58.53,112.17
[02/10/2021 08:30],58.53,58.53,-0.50,58.53,112.17
[02/10/2021 09:00],98.71,98.71,0.50,98.71,125.96
[02/10/2021 09:30],98.71,98.71,0.50,98.71,125.96
[02/10/2021 10:00],79.96,79.96,-18.95,79.96,98.66
[02/10/2021 10:30],79.96,79.96,-18.95,79.96,98.66
[02/10/2021 11:00],76.98,70.95,-29.59,74.82,84.09
[02/10/2021 11:30],76.98,70.95,-29.59,74.82,84.09
[02/10/2021 12:00],107.08,102.60,-25.22,100.85,100.51
[02/10/2021 12:30],107.08,102.60,-25.22,100.85,100.51
[02/10/2021 13:00],112.27,105.62,-29.92,85.81,88.32
[02/10/2021 13:30],112.27,105.62,-29.92,85.81,88.32
[02/10/2021 14:00],121.05,110.73,-20.37,76.42,88.12
[02/10/2021 14:30],121.05,110.73,-20.37,76.42,88.12
[02/10/2021 15:00],146.02,128.14,-6.63,71.16,98.69
[02/10/2021 15:30],146.02,128.14,-6.63,71.16,98.69
[02/10/2021 16:00],109.27,105.98,-6.28,75.77,101.95
[02/10/2021 16:30],109.27,105.98,-6.28,75.77,101.95
[02/10/2021 17:00],125.85,134.23,-1.86,104.73,120.01
[02/10/2021 17:30],125.85,134.23,-1.86,104.73,120.01
[02/10/2021 18:00],157.11,157.11,0.28,157.11,172.86
[02/10/2021 18:30],157.11,157.11,0.28,157.11,172.86
[02/10/2021 19:00],176.43,176.42,9.08,176.21,178.78
[02/10/2021 19:30],176.43,176.42,9.08,176.21,178.78
[02/10/2021 20:00],137.02,136.62,-0.67,119.32,121.55
[02/10/2021 20:30],137.02,136.62,-0.67,119.32,121.55
[02/10/2021 21:00],143.20,143.20,-5.03,143.20,142.20
[02/10/2021 21:30],143.20,143.20,-5.03,143.20,142.20
[02/10/2021 22:00],181.88,134.23,-0.07,160.18,160.59
[02/10/2021 22:30],181.88,134.23,-0.07,160.18,160.59
[02/10/2021 23:00],240.93,237.30,42.88,239.37,239.34
[02/10/2021 23:30],240.93,237.30,42.88,239.37,239.34
[03/10/2021 00:00],180.36,179.96,8.10,180.23,180.23
[03/10/2021 00:30],180.36,179.96,8.10,180.23,180.23
[03/10/2021 01:00],182.05,180.58,31.11,181.48,181.48
[03/10/2021 01:30],182.05,180.58,31.11,181.48,181.48
[03/10/2021 02:00],145.66,143.23,13.55,144.79,144.79
[03/10/2021 02:30],145.66,143.23,13.55,144.79,144.79
[03/10/2021 03:00],105.30,105.28,1.75,105.28,105.24
[03/10/2021 03:30],105.30,105.28,1.75,105.28,105.24
[03/10/2021 04:00],65.89,65.88,-4.30,65.86,65.86
[03/10/2021 04:30],65.89,65.88,-4.30,65.86,65.86
[03/10/2021 05:00],77.57,77.49,4.64,77.52,77.53
[03/10/2021 05:30],77.57,77.49,4.64,77.52,77.53
[03/10/2021 06:00],110.40,110.97,13.79,27.31,129.92
[03/10/2021 06:30],110.40,110.97,13.79,27.31,129.92
[03/10/2021 07:00],68.26,69.14,-5.70,-47.38,94.43
[03/10/2021 07:30],68.26,69.14,-5.70,-47.38,94.43
[03/10/2021 08:00],74.76,92.97,10.97,-24.13,122.09
[03/10/2021 08:30],74.76,92.97,10.97,-24.13,122.09
[03/10/2021 09:00],101.80,127.06,21.46,-25.88,130.60
[03/10/2021 09:30],101.80,127.06,21.46,-25.88,130.60
[03/10/2021 10:00],96.14,112.39,16.76,-31.69,117.25
[03/10/2021 10:30],96.14,112.39,16.76,-31.69,117.25
[03/10/2021 11:00],64.05,64.93,8.53,-47.23,95.50
[03/10/2021 11:30],64.05,64.93,8.53,-47.23,95.50
[03/10/2021 12:00],79.83,80.56,7.50,-14.01,96.57
[03/10/2021 12:30],79.83,80.56,7.50,-14.01,96.57
[03/10/2021 13:00],46.87,47.46,-20.98,-22.24,49.56
[03/10/2021 13:30],46.87,47.46,-20.98,-22.24,49.56
[03/10/2021 14:00],37.05,37.55,-30.78,-15.45,27.79
[03/10/2021 14:30],37.05,37.55,-30.78,-15.45,27.79
[03/10/2021 15:00],61.52,64.49,-6.59,29.09,46.06
[03/10/2021 15:30],61.52,64.49,-6.59,29.09,46.06
[03/10/2021 16:00],66.07,67.54,7.97,63.48,83.80
[03/10/2021 16:30],66.07,67.54,7.97,63.48,83.80
[03/10/2021 17:00],96.07,97.18,9.35,97.18,125.91
[03/10/2021 17:30],96.07,97.18,9.35,97.18,125.91
[03/10/2021 18:00],111.98,113.32,11.77,113.32,162.14
